Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
CHELMSFORD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHELSEA,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Sandy Totter,1367,1200,1200,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,Neither,Yes,,,,,,,,,,,,,Yes,498,No,204,Yes,,,,,71,35,,30,,,,,,,8,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,No,,,,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Eric Weiss,447,400,400,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,191,Yes,,Yes,72,,,,36,29,,14,3,,,,,,3,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
Chicopee,Barry Brouillard,24000,18800,18800,Curbside,,,Curbside,Bi-weekly,Yes,Yes,6595,None,Yes,Yes,26,52,Both,Neither,Neither,Neither,,,,,,,,Yes,,Yes,No,Yes,,,13900,No,0,No,36.16,3968,,,,,,,,,1400,,,,53,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,No,No,mattresses are units not tons,
CHILMARK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksburg,Sandy Totter,659,0,0,None,,,None,,,,,None,,Yes,,0,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,Yes,0,No,1,Yes,,,,,0,0,,3,,,,,,,2,0,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,Clarksburg's composting program is the sale of compost bins.  There is no municipal pick-up or drop-off.,
CLINTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohasset,Mary Snow,2825,2579,2579,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Both,Neither,Yes,,,,,,,,,,,,Yes,Yes,1627,No,0,Yes,84.98,,,220,398,224,,80,36,,,,,75,23,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,No,,,,,
Colrain,Jan Ameen,650,625,625,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,199,No,34,Yes,81,,,,63,49,,,,,,,,,4,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
Concord,Rod Robison,5500,3407,3532,Curbside,,,Curbside,,,,,None,,Yes,,41,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,2539,No,21,Yes,76,,22,450,1142,579,,20,3,,3,3,,392,23,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,1 or 2,0,No,,,,,
Conway,Jan Ameen,660,625,625,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,,Yes,Yes,491,No,76,Yes,70,,,,108,86,,41,,,,,,,5,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,0,0,Year Round,0,Yes,1,Yes,Yes,,
Cummington,eric weiss,382,300,300,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,178,Yes,,Yes,72,,,,41,25,,12,4,,,,,,1,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,Gail Bernard,10745,7764,7764,Both,,,Curbside,,,,,None,Yes,Yes,12,52,Both,Both,Neither,Neither,,Yes,3,45,,Yes,,Yes,Yes,,,,,Yes,6344,Yes,,Yes,72.46,,,,1455,1188,17,12,5,,,,,,14,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,Year Round,Yes,1,No,No,"For #2 total household calculations, I used the FY2014 LA4 Form.  I used the FY2013 LA4 information for last year's solid waste survey.

For #8 Recycled Tonnage, metal, textiles and electronics tonnages are from two weekend events only.  Rigid plastic ton",
Dartmouth,"David T. Hickox, P.E.",12639,9720,9720,Both,,,Both,Weekly,,Yes,65,None,Yes,Yes,6,52,Recycling,Both,Neither,Neither,Yes,,,,,,,,,,,,,,4885,No,7,Yes,18.74,,,80,1538,1110,,89,5,261,14,,,2332,21,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,No,The Town of Dartmouth does contract with a private contractor to pick up solid waste in some municipal buildings.  Recycling pick-up is done by the Town.,
Dedham,Virginia LeClair,8215,8000,8000,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,,35,,Both,Both,Neither,Neither,,,,,,,,,,,,,,,9400,Yes,,No,78.87,13692,,,,,,,,,,,,,,0,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Yes,1,No,No,"In addition to Household Hazardous Waste Collection, the Sustainability Advisory Committee in partnership with the DPW and Environmental Department hosted a recycling event to coincide with the October Hazardous Waste event and  invited Shred-It to recycle paper and Refoamit to recycle styrofoam. The Sustainability Committee would like to make this an annual event and include other vendors to capture additional recyclable material. 

For the past 2 years the Town has held a styrofoam collection event the first Saturday after Christmas. This event has been very successful and is open to the general public. 

In the future we would like to hold a recycling event in the Spring and Fall. The one in the Spring would be around Earth Day and the Fall event would coincide with Household Hazardous Waste Day. We will also continue to hold the December holiday styrofoam collection event.",
Deerfield,Jan Ameen,1710,1117,1117,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,660,No,128,Yes,70,,,,218,132,,37,,,,,,,,Year Round,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Dennis,Chad Contonio,13908,6936,13908,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Recycling,Both,,,,,,,,,,,,,Yes,,3782,Yes,,Yes,37.51,0,0,338,523,450,0,272,101,462,49,0,0,2841,74,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Yes,2,No,No,,
DEVENS,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIGHTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Kristin Harris,2937,1330,1330,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Neither,,,,,,,,,,,,Yes,,Yes,1395,No,130,Yes,,,,66,34,42,,20,1,,,,,,10,Year Round,1 or 2,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,No,,,,,
DOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracut,Matt Zettek,10423,10272,10332,Curbside,Yes,64,Curbside,,Yes,,,None,,Yes,,29,Both,Both,Neither,Neither,,,,,,,,,,,,,,,9722,Yes,,No,65,1218,,,524,351,,7,,,,,,427,17,1 or 2,1 or 2,Year Round,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,,
Dudley,Rosalie,3595,669,669,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,4,Neither,Neither,Neither,Neither,,,,,,,,,,,,,Yes,,508,No,0,Yes,60,183,,,,,,20,,,,,,600,7,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,Year Round,0,Yes,1,No,No,,
DUNSTABLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duxbury,Peter Buttkus,5356,5000,5000,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Both,Neither,Yes,,,,,,,Yes,,Yes,No,Yes,Yes,Yes,2546,No,1227,Yes,103.31,2546,0,,1985,0,0,286,100,0,34,0,0,3350,65,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,,
EAST BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Brookfield,Donna Wentzell,968,918,918,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,Yes,,526,Yes,,Yes,74.81,,100,,,56,,3,,3,,,,15,8,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,
East Longmeadow,Nick Breault,5600,5600,5600,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,Yes,,,,,Yes,3889,No,94,Yes,82.04,,,,1014,552,,,,228,,,,,,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Year Round,Yes,1,Yes,No,,
Eastham,Neil Andres,5606,3618,3618,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,Both,,,,,,,,,,,,,Yes,Yes,2555,No,50,Yes,37.5,,103,137,190,84,16,198,31,446,50,,5,703,9,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Yes,2,No,Yes,"Carpet included in Construction and Demolition (wood) waste tons, some bulky furniture as well",
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDGARTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egremont,Mary Brazie,812,812,812,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,20,Both,Both,Both,Neither,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,410,No,44,Yes,80,,,,109,71,,23,,,,,,,1790,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Once a Month,0,No,,,,,
Erving,Jan Ameen,600,600,600,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,,,,,,,Yes,365,No,90,No,71,,,,105,43,,,,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
ESSEX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Jon Norton,16231,13644,13644,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,96,None,Yes,,16,,Both,Both,Both,Neither,,,,,,,,,,,,,,,12891,Yes,,Yes,77.5,3833,,,,,,,,,,,,86,,1 or 2,1 or 2,Once a Week,Once a Week,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,No,"Although the City picks up white goods and electronics curbside (sticker required), currently there is no way to estimate tonnage as it is all combined including bulk burnable wast.

Everett participates in the Essex County HHW Collection Network and can refer residents to any open events.  3 are listed above.",
FAIRHAVEN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River,Betsey Westell,42000,33000,33000,Both,Yes,95,Both,Weekly,Yes,Yes,95,None,Yes,Yes,40,52,Both,Both,Both,Neither,,Yes,5,95,Yes,,No,,,,,,,,31799,Yes,,Yes,59.22,6264,,94,,,24,105,1,,,,,5123,136,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Yes,1,No,No,"Cart sizes vary from 35 gallon recycle/trash carts for elderly or handicapped residents; 65 set for single family; combinations of 95 gallon for multifamily.

Also, Republic Services hosts the annual Household Hazardous Waste event. We participate to the extent that I attend the event and help with answering questions from the residents etc. 

On the question about dedicated enforcement personnel : we have no one full time employee solely dedicated but it is a component of my job.",
FALMOUTH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg,Jean-Francois,16500,13500,13500,Both,,,Both,,Yes,,,None,Yes,Yes,16,52,Both,Both,Neither,Neither,,,,,,,,,,,,,,,9712,Yes,,Yes,,2971,15,8,,,,58,,,14,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Florida,Sandy Totter,265,265,265,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,Neither,,,,,,,,,,,,,,Yes,317,No,64,Yes,,,,,23,11,,11,,,,,,,3,0,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
FOXBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Doug Coppi,28006,17733,17733,Both,,,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,11,38,Both,Both,Recycling,Neither,,Yes,3,35,Yes,,Yes,,,,,,,Yes,16053,Yes,,Yes,67,4428,,137,88,32,59,246,8,,26,30,12,3133,62,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Yes,1,No,No,"1.  Our curbside MSW is collected by Town staff; recycling by the Town's contractor. (Disregard question # 5 info for end date of Solid Waste Contract- wasn't allowed to submit form without answering that question)
2.  We also take books, glass, and eye glasses.
3.  Foam recycling - Only packaging Styrofoam is accepted at the Town's Recycling Center, not curbside.",
Franklin,Chris White,12000,9000,9000,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,Yes,Yes,5,52,Both,Both,Recycling,Neither,,Yes,4,65,Yes,Yes,No,Yes,Yes,Yes,No,,,,7096,Yes,,Yes,74.81,3424,,,,,50,160,3,1000,20,15,,500,25,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,52,No,Yes,,
FREETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner,Bernard Sullivan,7795,7000,7500,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,11,52,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,3633,No,8,Yes,75,1596,,50,,,,10,0,,10,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,2,Yes,Yes,"Population and households from 2010 US Census. Some estimation of how many non-curbside households get Transfer Station stickers- records not kept in that fashion. Our mattress records are kept per unit, not by the ton, so I calculated approximate tonnage",
GEORGETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,510,450,450,Curbside,,,Curbside,,,,,None,,,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,205,No,0,No,,,,,105,69,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
Gloucester,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,,,,,None,Yes,Yes,3,21,Both,Both,Neither,Neither,Yes,,,,,,,Yes,,Yes,Yes,Yes,,,6521,Yes,,Yes,77,274,,,1448,1240,,61,,,,,,502,8,Once a Month,Once a Month,Once a Month,0,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,0,0,Yes,1,No,No,,
Goshen,eric weiss,365,325,325,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Neither,Yes,,,,,,,Yes,,Yes,Yes,,Yes,Yes,144,Yes,,Yes,72,,,,70,56,,30,6,,,,,,4,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Yes,1,Yes,Yes,,
GOSNOLD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAFTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granby,Christopher Martin,2200,1453,1453,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,Yes,,,756,No,56,Yes,69.03,,,,246,158,,45,,,,,,243,14,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Between 3 & 10,Year Round,0,0,0,0,0,Year Round,0,0,No,,,,,
Granville,Kathy Martin,575,475,575,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Neither,Yes,,,,,,,Yes,,Yes,No,Yes,Yes,,198,Yes,,Yes,74.5,,,,61,34,,11,1,,,,,,7,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Great Barrington,Joseph Sokul,2965,2965,2965,Drop-off,,,Drop-off,Weekly,,Yes,20,None,,,,,Both,Neither,Recycling,Neither,,,,,,,,,,,,,Yes,,150,No,45,Yes,74,42,,,72,,,,,,,,,,3,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,1 or 2,1 or 2,1 or 2,0,0,0,0,Yes,6,Yes,No,,
Greenfield,Janine Greaves,8900,7082,7082,Both,,,Both,,,,,Drop-off,Yes,Yes,4,52,Both,Recycling,Neither,Both,Yes,,,,,,,,,,,,,Yes,3412,No,160,Yes,80.95,,,,987,568,,185,,,851,,,591,33,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,248,No,No,,
Groton,Tom Delaney,3794,1203,3794,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Recycling,Recycling,Yes,,,,,,,,,,,Yes,Yes,Yes,875,No,443,Yes,88.2,,,43,43,222,6,21,14,,,,,250,15,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,No,,,,,
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,2952,2018,2863,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,Yes,Yes,927,Yes,,Yes,97.25,,,28,188,165,,24,1,,,,,,12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,We accept household hazardous waste year round.,
Hamilton,David Hanlon,2911,2911,2911,Curbside,,,Both,,Yes,,,Curbside,,Yes,,8,Both,Neither,Both,Neither,Yes,Yes,1,35,,Yes,,,,,,,,Yes,1225,Yes,,No,72,1010,,6,,,,7,,,,,304,,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,0,Once a Month,1 or 2,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,0,Once a Week,Yes,1,Yes,Yes,,
Hampden,Jane Budynkiewicz,1800,850,850,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,277,No,0,Yes,90,0,0,38,68,51,,,,,,,,,,0,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,0,0,1 or 2,1 or 2,0,0,0,1 or 2,0,No,,,,"We received 2 rebate checks from the MRFfor recycling for paper and containers. Total rebate for paper for the year was $3,084.21 and total rebate for containers for the year was $1,567.18.",
Hancock,Sandy Totter,296,296,296,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Both,Both,Neither,,,,,,,,,,,,,Yes,Yes,179,No,48,No,,,,,35,17,,20,,,,,,,9,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,No,,,,Bulky rigid plastics with co-mingled as of 7/1/13.,
Hanover,Victor Diniak,4950,4950,4600,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Neither,Neither,,,,,,,,Yes,,Yes,No,Yes,Yes,,4508,No,135,Yes,53,,,346,346,315,0,215,95,889,20,0,0,1500,53,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,,
Hanson,Donna Tramontana,3557,3446,3446,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,Neither,,,,,,,,Yes,,Yes,No,,,,2742,Yes,,Yes,34.92,,,,315,182,,39,13,,,,,250,19,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
