Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste (Curbside),Yard Waste (Dropoff), # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tip Fee as of 1/1/2013,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Did your municipality host comprehensive household hazardous waste collection events in 2012?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Cheshire,Sandy Totter,1367,1200,1200,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,,,,,Yes,705,Yes,,,,,76,36,,32,,,,,,175,10,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Eric Weiss,447,447,447,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,,,,Yes,Yes,146,Yes,68,,,,42,25,,13,3,,,,,,0,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
Chicopee,Barry Brouillard,24100,18800,18800,Both,,,Both,Bi-weekly,Yes,Yes,95,None,Yes,Yes,52,52,Both,Neither,Both,,,,,,,Yes,Yes,,,,15830,Yes,,3772,,,,,,416,,,,,,6268,29,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,"1400 mattresses were shipped in 2012, tonnage unknown",
CHILMARK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksburg,Sandy Totter,659,0,0,None,,,None,,,,,None,,,,,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,,,,,3,,,,,,,3,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,"Clarksburg has NO municipal MSW or recycling services.  Through NBSWMD they hold an annual Bulky Waste collection which includes electronics, tires, propane tank and scrap metal.  Their membership in NBSWMD gives their residents access to paint collection",
Clinton,Michael J. Ward,2339,2339,2339,Curbside,,,Drop-off,,,,,None,,Yes,,5,Trash,Trash,Recycling,Yes,,,,,,,,,,,1927,No,80,1,86,110,0,122,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Cohasset,Mary Snow,2825,2579,2579,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Both,Yes,,,,,,,,,,,1629,No,83.81,,,212,377,148,,,25,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Colrain,Jan Ameen,623,600,600,Drop-off,,,Drop-off,,,,,None,,,,,Recycling,Neither,Neither,Yes,,,,,,,,,,Yes,212,Yes,82.7,,,,61,46,,,,,,,,,3,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,No,,,,,
Concord,Rod Robison,5100,3351,3478,Curbside,,,Curbside,,,,,None,,Yes,,49,Both,Both,Neither,Yes,,,,,,,,,,,2509,No,78,,22,450,1164,602,,24,3,,3,4,,1617,22,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,0,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Yes,1,Yes,No,,
Conway,Jan Ameen,780,750,750,Drop-off,,,Drop-off,,,,,None,,,,,Both,Recycling,Neither,,,,,,,,,,Yes,Yes,572,Yes,69,,,,121,88,,42,5,,,,,,4,0,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,0,0,No,,,,,
Cummington,eric weiss,382,382,382,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,174,Yes,68,,,,43,26,,12,4,,,,,,2,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,Gail Bernard,10630,7810,7810,Both,,,Curbside,,,,,None,Yes,Yes,12,52,Both,Both,Neither,,Yes,3,45,,Yes,Yes,,Yes,,Yes,6288,Yes,70.95,,,,1476,1102,5,10,7,,,,,,16,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Yes,1,No,No,Recycled tonnages included materials collected from two residental collection events scheduled in 2012.,
Dartmouth,"David T. Hickox, P.E.",11473,9644,9644,Both,,,Both,Weekly,,Yes,65,None,Yes,Yes,6,52,Recycling,Both,Neither,Yes,,,,,,,,,,,5556,Yes,18.61,,33,76,1469,972,,103,6,268,13,,,1220,37,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,4,Yes,No,Solid waste was picked up by the town from the high school for the 2012 year.  An additional 2 schools were picked up from August - December 2012.,
Dedham,Virginia LeClair,9396,8900,8900,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,Yes,,38,,Both,Both,Neither,,Yes,2,64,,Yes,,,,,Yes,6921,Yes,78.03,2750,,,,,,35,,,,,,1675,,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Yes,1,No,No,"In addition to our annual HHW collection day the Town offered for the first time a Styrofoam Collection Event, hosted at an elementary school the first Saturday after Christmas. The Town contracted with ReFoamIt and filled a 24 ft trailer 3/4 the way full",
Deerfield,Jan Ameen,1920,1117,1117,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Neither,Yes,,,,,,,,,,Yes,1010,Yes,69,,,,235,132,,34,,,,,,,1,Year Round,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Dennis,Chad Contonio,13859,6956,13859,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Neither,Recycling,,,,,,,Yes,Yes,,Yes,,4121,Yes,37.51,0,0,323,518,140,0,264,101,331,41,0,0,2394,53,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,2,No,No,,
Devens,David Blazon,135,0,135,None,,,Drop-off,,,,,None,Yes,Yes,43,52,Both,Both,Recycling,,,,,,,,,,,,131,Yes,82,,,65,7,20,,9,4,7,,,,,6,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,19,Yes,No,"4. One pre-school participates in program, the high school does not. 
8. Cardboard includes some paper
8. Not all textile vendors pay revenue",
DIGHTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Douglas,Justin Lapham,3523,1350,1350,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,,,,,,,,,,,Yes,1617,Yes,,,,47,18,43,,38,1,,,,,,11,Year Round,1 or 2,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,No,,,,,
DOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracut,Matt Zettek,11264,10134,10194,Curbside,,,Curbside,,,,,None,,Yes,,30,Both,Both,Neither,,,,,,,,,,,,10871,Yes,71,,,,1081,711,,,,,,,,807,,1 or 2,1 or 2,Once a Month,0,0,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,Yes,,
Dudley,Rosalie,3595,704,704,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,12,Both,Neither,Neither,,,,,,,,,,,,561,No,60,211,,,,,,,,,53,,,,9,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,No,,,,"The number of household served by municipal tash program 704 is te number of stickers soLd by the town to residnens.  the stickers are good for one year.  We accept residential trash only.  There is also an additional cost of renting dumpsters of$2,280.00",
Dunstable,Joan Ferrari,1034,445,445,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,,,425,Yes,,,,27,50,37,,5,,,,,,,,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,No,,,,"Item 8 was a bit confusing for me.  I took three different per ton figures (plastic, steel,aluminium) added them together and got an average for the per ton revenue.  Also we do not have any positive or negative for metal.   Hauler takes as a wash.",
Duxbury,Trudy Lavin,5356,4820,4820,Drop-off,,,Drop-off,,Yes,,,None,,Yes,,52,Both,Neither,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,2480,No,103.31,2333,,,,,0,295,100,1170,34,0,0,3350,73,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
EAST BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Brookfield,DONNA WENTZELL,965,925,925,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,,540,Yes,74.01,,,,91,64,,4,,,,,,,11,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,1 or 2,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,No,,,,,
East Longmeadow,Nick Breault,5500,5500,5500,Curbside,,,Curbside,,,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,,,,,Yes,3537,No,80.62,,,,1071,532,,,,,,,,,,0,Once a Week,Year Round,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,0,Yes,1,Yes,No,,
Eastham,Neil Andres,5932,5569,5569,Drop-off,,,Drop-off,,,,,Drop-off,,Yes,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,2999,No,37.5,,351,136,187,213,38,231,53,768,,,2,662,37,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,"Styro  foam accepted in MSW - no recycling program at this point
Carpet and mattresses included in C&D",
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,Maurice Goulet,5734,3251,3251,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,,,,,Neither,Neither,Neither,,,,,,,,,,,,2853,Yes,76,1046,,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
EDGARTOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egremont,Mary Brazie,807,807,807,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,482,Yes,85,,,,101,80,,19,,,,,,,2,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,5,Yes,No,,
Erving,Jan Ameen,800,800,800,Curbside,,,Curbside,,,,,None,,Yes,,37,Both,Neither,Neither,,,,,,,,,,,Yes,457,Yes,67.5,,,,88,45,,8,,,,,,88,3,Year Round,1 or 2,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,0,0,No,,,,,
ESSEX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Jon,16231,13644,13644,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,Yes,,16,,Both,Both,Both,,,,,,,,,,,,14360,Yes,75,3080,,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,0,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,Yes,No,The City offers 3 sizes of recycling carts,
Fairhaven,Patricia Fowle,6555,5550,6000,Curbside,,,Both,,,,,None,Yes,Yes,9,43,Both,Both,Both,,Yes,10,32,Yes,,,,,,Yes,5815,Yes,32.52,,,,635,391,0,0,16,1200,0,0,0,510,14,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,White goods are collected at the recycling center but have not been picked up in calendar 2012.,
Fall River,Betsey Westell,42000,33000,33000,Both,Yes,95,Both,Weekly,Yes,Yes,95,None,Yes,Yes,30,52,Both,Both,Both,,Yes,5,95,Yes,,,,,,,30576,Yes,58,3769,,30,,,16,101,1,,,,,4848,120,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,"Landfill Contract start date 1986. End date to be determined.
Cart Sizes vary. Single Family: 65gal Rec/65 Trash
Multi Family:95 gallon Trash/95gallon Recycle # of each varies by number of units in building.
We are ramping up our Recycling collection for Public Schools to be complete by end of year.
Business Recycling: We collect trash/recycling at 75% of the approx. 900 businesses.
Muni Buildings: We collect trash/recycling at approx 90%
Recycling Cost/Rev for Single Stream Curbsides Recycling varied from a high cost of -$20/Ton to a high rev of +$3.30/Ton",
Falmouth,john lyons,15409,15409,15409,Both,,,Both,,Yes,,,None,,Yes,,52,Both,Both,Neither,,,,,,,,,,Yes,,11228,No,,2904,63,66,,49,,124,15,3,14,,,5980,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,
Fitchburg,Jean-Francois Leblanc,16500,13500,13500,Both,,,Both,,Yes,,,None,Yes,Yes,16,52,Both,Both,Neither,,,,,,,,,,,,14125,Yes,,1271,18,14,,,,29,,,269,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
Florida,Sandy Totter,265,265,265,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Both,,,,,,,,,,,Yes,374,Yes,,,,,23,13,,24,,,,,,,3,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
FOXBOROUGH,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham,Darren Guertin,27529,17571,17571,Both,,,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,10,38,Both,Both,Recycling,,Yes,3,32,Yes,,,,,,Yes,14761,Yes,65,4762,,115,86,59,49,202,12,,43,28,8,2456,75,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,No,"We also take Books, glass, eye glasses and rechargeable batteries.  Under section 9., we are unsure what numbers you would like for wood.  We do no not take wood at the recycling center, however we had 9,060 cy of leaves and brush collected.",
Franklin,Chris White,10500,9000,9000,Curbside,Yes,65,Both,Weekly,Yes,Yes,65,None,Yes,Yes,5,52,Both,Both,Recycling,,Yes,1,65,Yes,Yes,Yes,Yes,,,,7019,Yes,74.01,3468,,,,,50,120,4,0,30,10,0,1200,75,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,Started collecting oil based paints at the Franklin Recycling Center last year to replace annual hhw event,
FREETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gardner,Bernard Sullivan,8282,7200,7200,Both,Yes,48,Both,Bi-weekly,Yes,Yes,96,None,Yes,Yes,10,52,Both,Both,Both,Yes,,,,,,,,,,,4260,No,74,1540,,39,,,30,14,10,,10,,,300,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,Yes,Gardner's trash and recycling curbside program is wholly enterprised.  Businesses can opt in to both the curbside trash and recycling or recycling only. The recycling carts are available in 2 sizes 64 gallon and 96 gallon with 96 being the most common. Trash beyond the 48 gallon toter must be in the city's PAYT bags at $3.50 per bag- the hauler gets $1 per bag collected. Our transfer station is open for businesses to bring recyclables.,
GEORGETOWN,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,582,582,582,Curbside,,,Curbside,,,,,None,,,,,Both,Neither,Neither,Yes,,,,,,,,,,Yes,209,No,,,,,73,70,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Gloucester,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,,,,,None,Yes,Yes,2,21,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,,,6837,Yes,75,66,,,1547,1277,,52,,,,,,3250,,Once a Month,Once a Month,0,0,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,0,Yes,1,No,Yes,,
Goshen,eric weiss,365,365,365,Drop-off,,,Drop-off,,,,,None,,,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,Yes,Yes,142,Yes,68,,,,42,23,,12,4,,,,,,0,0,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Yes,1,Yes,Yes,,
GOSNOLD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grafton,Kevin Mizikar,6971,4813,4813,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,Yes,,35,Both,Both,Neither,Yes,,,,,,,,,,,3050,Yes,74.01,1748,,,,,,,,,,,,,,Year Round,0,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,1 or 2,Yes,1,No,No,,
Granby,Christopher Martin,2400,2300,2300,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Recycling,Recycling,Recycling,Yes,,,,,,Yes,Yes,,,,1053,Yes,230.28,,,,232,136,,82,,10,,,,,6,Year Round,Year Round,Year Round,Year Round,Once a Week,0,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,Year Round,Yes,1,Yes,Yes,,
Granville,Kathryn Martin,575,500,575,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Both,Yes,,,,,,Yes,Yes,,,Yes,220,No,,,,,62,35,,20,1,,,,,,7,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,No,,,,,
GREAT BARRINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenfield,Janine Greaves,8900,7500,7500,Both,,,Both,,,,,None,Yes,Yes,12,52,Both,Recycling,Neither,Yes,,,,,,Yes,Yes,,,Yes,3687,No,79.55,,,,1028,658,,243,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,We do our own household hazardous waste collection year round at our Treatment Plant at 384 Deerfield Street,
Groton,Tom Delaney,4150,1514,1514,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Recycling,Recycling,Yes,,,,,,,,,Yes,Yes,849,No,86.79,,,136,149,298,3,155,10,,,,,200,56,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,19,Yes,No,"2c. Stickers not needed for recycling, only for MSW. All 4150 HH have access. But do not have count of Households Served by the Municipal Recycling Program",
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,2958,2022,2958,Curbside,,,Both,,,,,None,,Yes,,52,Both,Both,Neither,Yes,,,,,,Yes,Yes,,Yes,Yes,893,Yes,94.51,,171,20,23,163,,25,1,,,,,,33,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Hamilton,John Tomasz,2379,2379,2379,Curbside,Yes,64,Curbside,,Yes,,,Curbside,Yes,Yes,4,9,Both,Both,Both,Yes,,,,,,Yes,Yes,Yes,,,1278,Yes,69,1015,,,,,,6,,,,,271,2,2,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Once a Month,Once a Month,1 or 2,0,1 or 2,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,No,No,,
Hampden,Jane Budynkiewicz,2249,596,596,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Neither,Neither,Neither,Yes,,,,,,,,,,,266,No,,0,0,35,69,61,0,0,0,0,0,0,0,0,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,1 or 2,0,1 or 2,1 or 2,1 or 2,0,0,0,Yes,1,Yes,No,,
Hancock,Sandy Totter,296,296,296,Drop-off,,,Drop-off,,,,,None,,Yes,,0,Both,Both,Both,,,,,,,,,,,Yes,215,Yes,,,,,30,14,,17,,,,,,,10,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Yes,1,Yes,No,,
Hanover,Victor Diniak,4800,4800,4800,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Both,Recycling,,,,,,,Yes,Yes,,,,4526,Yes,52,,365,321,,305,,185,104,940,23,,,1500,50,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,Yes,,
Hanson,Donna Tramontana,3604,3604,3604,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Neither,,,,,,,,,,,,2795,Yes,70,,,,295,166,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,No,,,,,
Hardwick,Theresa A. Cofske,1163,0,366,None,,,Drop-off,,,,,None,,,,,Recycling,Recycling,Recycling,,,,,,,,,,Yes,,0,No,,,,,93,53,0,15,18,3,0,0,0,0,2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,In 2012 the center has implemented two new services (bulky Styrofoam and used antifreeze).,
Harvard,Richard Nota,1875,1396,1446,Drop-off,,,Drop-off,,,,,None,,,,,Both,Neither,Neither,,,,,,,,,,Yes,Yes,1167,No,86.79,,,,303,171,,90,12,,,,,,18,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Harwich,Lincoln Hooper,10152,10152,10152,Drop-off,,,Drop-off,,,,,None,,Yes,,52,Both,Neither,Both,,,,,,,,,,Yes,,7065,No,37.51,,222,273,133,374,,418,63,4495,,,,3346,95,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,6,Yes,No,"E-Waste is not paid for on a per ton basis so no costs were entered.  Recycling revenue amounts were based on 12/2012 prices, but fluctuate.",
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
