Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2019,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2018?,How many events?,Regional,Reciprocal,,
Bridgewater,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimfield,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J. Patrick Sullivan,28000,26350,26350,Curbside,Yes,35,Both,Bi-weekly,Yes,Yes,96,None,27,52,Both,Recycling,Neither,Neither,,Yes,,,Yes,280,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,25706,Yes,0,Yes,52,,5671,0,90,370,260,0.5,126,25,0,127.05,50,,6552,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,
Brookfield,Mike Seery,942,572,572,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,85,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,428,No,68.54,,,84.41,148.34,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,No,,,,,
Brookline,Ed Gilbert,26448,13305,13305,Curbside,Yes,35,Curbside,Weekly,Yes,Yes,65,Drop-off,38,,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,,,Yes,8403,Yes,0,No,,76,4968,,,,,,,41.78,,,,,2756,33.75,,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Once a Week,Year Round,Once a Week,Once a Week,Yes,26,Yes,No,,
Buckland,Jan Ameen,683,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,224.8,No,0,,,77,0,,,66.8,53.68,,26.29,4.08,,,,,,,,Once a Month,1 or 2,1 or 2,1 or 2,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Burlington,Teresa Keene,7039,6932,6932,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,18,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,5573,Yes,0,Yes,208,70,2286.8,,,,,,,,,,,,,,,1 or 2,0,0,0,1 or 2,1 or 2,0,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,0,0,0,0,Yes,2,No,No,,
Cambridge,Michael Orr,50000,32500,44700,Curbside,,,Curbside,Weekly,Yes,Yes,65,Curbside,37,4,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,60,Yes,Yes,Yes,Yes,,Yes,Yes,13608,Yes,0,Yes,,99,8965.17,,45.98,,21.3,,103.28,67.5,,,,1348.75,,86.72,,Year Round,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Once a Week,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,Yes,4,No,No,,
Canton,Gamze Munden,7208,7208,7208,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8521,No,0,No,52,68.52,2103.79,,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,0,Year Round,0,0,1 or 2,Yes,1,No,No,,
Carlisle,Timothy Goddard,1713,1713,1713,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,,Yes,,,,25,,,,,,,,,,,,,,,,,,,,,Yes,,,1811.5,Yes,0,Yes,,67.84,,27.27,186.26,178.13,68.08,,100.24,,,,,,,12.05,221.69,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Carver,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,466,440,440,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,Yes,167.59,No,0,,,77,0,,,43.24,35.59,,8.64,1.13,,,,,,0.47,,Once a Month,1 or 2,Year Round,Year Round,Once a Month,Year Round,1 or 2,1 or 2,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,Year Round,0,1 or 2,No,,,,,
Charlton,Kara Hmielowski,4617,0,0,None,,,None,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,49,No,0,Yes,,,0,,,,,,,,,,,,,,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,No,Yes,,
Chatham,Josh Pelletier,3160,3160,3160,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,80,,5,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,5246,Yes,0,Yes,,90,262,,282,275,,,192,15,,23,,7,,25,1009,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
Chelmsford,Nicholas Parlee,13183,12230,12230,Curbside,,,Curbside,Bi-weekly,Yes,,,None,0,4,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,32,Yes,Yes,No,,,,,,,,,Yes,Yes,,,,,,10507,Yes,0,Yes,52,70.7,3217,,,,,,15,47.01,,,,,40,,,Year Round,Year Round,Year Round,0,Once a Month,Once a Month,0,0,Once a Month,0,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Year Round,0,Year Round,0,0,Yes,1,Yes,No,,
Chelsea,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Linda Cernik,1358,840,840,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,150,,Yes,,,,,,,Yes,Yes,,Yes,Yes,,No,,,,,,,,,479.71,No,151.76,Yes,,,0,,,59.22,35.63,,34.5,7.56,,,,,5.4,11.13,,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,1 or 2,0,1 or 2,No,,,,,
Chester,Katherine Warden,566,134,566,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,156.07,No,61.76,Yes,,80,0,,,23.38,16.66,,9.86,,,7,,,,3.06,61.76,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
Chesterfield,Kathleen A. Casey,551,247,247,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,25,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,145.37,No,17.14,Yes,,75,0,,,31.43,24.04,,8.42,2.5,,,,,,1.34,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Chicopee,Barry Brouillard,24200,18865,18865,Both,Yes,35,Both,Bi-weekly,Yes,Yes,95,None,26,52,Both,Neither,Neither,Neither,Yes,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,15,,,,,,,,11705.38,No,0,No,,,4542.84,,,,,,194.92,24.67,,56.29,,,3252.12,87.34,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,Yes,2,No,Yes,,
Chilmark,Donald Hatch,1312,450,450,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,91,No,0,,,165,72,,,,,,,,,,,1,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,3,Yes,No,,
Clarksburg,Linda Cernik,720,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,1.21,Yes,,,0,,,,,,2.22,,,,,,,2.95,,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,0,1 or 2,0,1 or 2,No,,,,,
Clinton,Michael J. Ward,4792,4346,3705,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Recycling,Recycling,Yes,Yes,,,Yes,168,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,Yes,Yes,,2056.62,No,52.21,Yes,,75.32,888.19,,,33.88,10.91,8.28,,,,17.63,,,27,19.19,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,Year Round,Year Round,0,0,No,,,,,
Cohasset,Mary Snow,3200,2900,2900,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,Yes,,Yes,1523,No,481,Yes,,79,,,134,325,227,,143,34,,,,,120,13.9,481,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,
Colrain,Jan Ameen,674,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,208.78,No,27.49,Yes,,77,0,,,47.85,47.72,,19.77,2.02,,,,,,2.73,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Concord,Rod Robison,5500,3573,3661,Curbside,,,Curbside,Weekly,,,,None,,39,Both,Both,Neither,Neither,,Yes,,,Yes,262,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,2599,No,28.52,Yes,,79,0,22.04,79.7,1012.27,653,3.95,23,5.03,,2.92,3.55,,383,20.12,27.56,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Yes,1,No,Yes,,
Conway,Jan Ameen,670,610,610,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,456.38,No,95.5,No,,77,0,,,106.44,83.26,,47.69,,,,,,,3.61,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,0,Once a Month,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,
Cummington,Kathleen A. Casey,424,281,281,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,118.82,No,48.48,Yes,,79,62.72,,,,,,7.05,2,,,,,,1.35,,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Between 3 & 10,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,
Dalton,Edward Fahey,2319,719,787,Drop-off,,,Drop-off,,,,,None,,45,Trash,Trash,Trash,Neither,,,Yes,,Yes,,82.09,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,Yes,Yes,Yes,Yes,,,,568.12,No,0,,,,0,,,159.6,96.45,,7.15,,,,,,,,20.59,0,0,0,0,0,Year Round,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
Danvers,Gail Bernard,11340,7798,7798,Both,,,Curbside,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,45,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,6488.8,Yes,0,Yes,,75,0,,,1378.84,1159.67,25.16,24.49,6.53,,,,,,18.29,,0,Year Round,Year Round,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,Year Round,Between 3 & 10,0,0,Yes,1,No,No,,
Dartmouth,"David T. Hickox, P.E.",12967,10073,10073,Both,,,Both,Weekly,,Yes,65,None,12,52,Recycling,Recycling,Recycling,Neither,,Yes,,,Yes,90,,,Yes,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,5089.65,No,13.21,Yes,,,0,4.09,117.64,1321.83,1193.65,16.63,206.25,93.45,,29.11,,,1926.41,52.05,518.54,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,No,,,,,
Dedham,Virginia LeClair,7973,7920,7920,Both,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,34,,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,Yes,Yes,No,Yes,,Yes,,Yes,Yes,No,,,,,,,,Yes,6263.78,No,0,No,,68.1,2762.6,,,,,,,27.59,,,,,1835.87,4.53,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
Deerfield,Jan Ameen,1701,900,900,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,543.54,No,107.72,Yes,,77,0,,,185.03,116.62,,39.82,3.11,,,,,60,,,Year Round,1 or 2,1 or 2,1 or 2,Once a Month,Year Round,1 or 2,1 or 2,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,1 or 2,No,,,,,
Dennis,Chad Contonio,14217,7031,7031,Drop-off,,,Drop-off,,,,,Drop-off,,52,Recycling,Neither,Recycling,Both,,Yes,,Yes,,152,,5,,,,,,,,,,,,,,,,,,,,,,Yes,3709,No,0,Yes,,57.79,0,0,307,3606,171,37,421,77,1584,86,,11,1344,48,1289,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Yes,3,Yes,No,,
Devens,David Blazon,143,0,143,None,,,Drop-off,,,,,None,45,,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,122,No,0,,,65,0,,,30.47,41.21,,11.24,2.93,12.25,,,,22.65,1.55,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,Yes,20,Yes,No,,
Dighton,Todd Pilling,2833,2733,2733,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,,,,,,,,,,,,,,,,1556,No,240,Yes,,88.5,647.75,,15.51,,,,,,,,,,5.4,3.91,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,0,0,Year Round,No,,,,,
Douglas,Kristin Harris,3149,1285,1285,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,,,200,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,1096,No,164,Yes,,,0,,59,29,72,15,46,1.62,,,,,,8.94,,Year Round,1 or 2,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,No,,,,,
Dover,Christopher Poulsen,2121,1486,1486,Drop-off,,,Drop-off,,,,,Curbside,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,1207,Yes,,No,,68.54,,,157.1,149.9,171,,97.9,17.9,,4.35,,65.3,,20.8,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,1 or 2,No,,,,,
Dracut,Matt Zettek,12163,10569,10629,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,28,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,9779,Yes,0,No,52,70.7,2877,,,,,,25,3,,,,,845,22,,1 or 2,1 or 2,Once a Month,0,0,1 or 2,0,1 or 2,1 or 2,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,,
Dudley,Michelle Jervis,4237,839,839,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,,,Yes,,,,245,,,,,,,,,,,,,,,,,,,,,Yes,,,643,No,58,Yes,,90,220.04,,,,,,,,,,,,,,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,No,,,,,
Dunstable,Joan Ferrari,1084,228,228,Curbside,Yes,0,Curbside,Weekly,Yes,Yes,0,None,,,Both,Neither,Neither,Neither,,Yes,,,Yes,300,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,181,No,0,Yes,,,0,0,0,0,0,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,0,0,0,0,0,No,,,,,
Duxbury,Liz Mahan,5933,5300,5300,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Both,Yes,,Yes,,Yes,,35,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,Yes,,2678,No,0,Yes,,59.23,0,,301.32,746.52,579.14,,252,73,,,,,3000,31.49,1337.19,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,Yes,,
East Bridgewater,Rob Kenn,4200,2800,2800,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,,28,Both,Both,Neither,Neither,,Yes,Yes,,,300,75,,,,,,,,,,,,,,,,,,,,,,,,2103,Yes,0,No,,69.49,913,,,,,3,9,35870,7.35,3.41,,,72.9,38.4,,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,Once a Month,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Once a Month,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Year Round,Once a Month,0,0,1 or 2,Yes,1,No,No,,
East Brookfield,Donna Wentzell,974,939,974,Curbside,,,Both,Bi-weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,,130,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,533.74,Yes,0,Yes,,77.87,93.39,,,20.18,,,14.95,,,,,,20,9.54,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,No,,,,,
East Longmeadow,Elizabeth Bone,5800,5700,5714,Curbside,,,Both,Weekly,,,,None,0,52,Both,Both,Neither,Neither,Yes,,Yes,,,,50,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5,,,,,,,Yes,3943.94,No,111.62,Yes,,75,0,,,766.09,543.24,,188520,8.43,,,,,3782.14,11.83,,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,0,No,,,,,
Eastham,Silvio Genao,5660,3784,3784,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,120,,10,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,2986.95,No,698.07,Yes,,71.75,0,62.71,151.13,166.2,151.42,18.41,269.06,16.81,,23.25,,,1696.99,17.33,656.41,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,Yes,,
Easthampton,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easton,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
