Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2016?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Brewster,James Jones,9751,3800,3800,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Recycling,Both,Yes,Yes,Yes,,Yes,45,10,,Yes,,,,,,,,,,,,,Yes,Yes,Yes,1201.3,No,508.99,Yes,,63.04,,,,499.61,144.88,,106.9,26.92,0,12.82,,,1072.21,26.95,508.99,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,"Our price to dispose of co-mingle increased from $25/ton to $45/ton as of Nov 1st. 2016.Our rebate for mixed paper increased from $10/ton to $25/ton as of Oct. 15th 2016.Our cost to dispose of E-waste increased $225 per pick-up as of Nov. 1st 2016Our carpet and wood waste numbers are included in our total mixed construction/demolition category.Our yard waste total does not reflect what we pay to process (brush grinding/compost screening) which was $14,150.00. or demo debris brought in by Town departments.We encourage residents to bring oil, based paints to HW days, we have paint/swap shed for residents to use. In addition to recycling rechargeable batteries we now recycle alkaline batteries with our metal pile.We also have book and magazine recycling bins located at our Swap Shop for our residents as well.",,
Bridgewater,Laurie Keane,9628,2750,2750,Drop-off,,,Drop-off,,Yes,,,None,,,Neither,Neither,Neither,Neither,,,Yes,Yes,,,30,3,Yes,,,,,,,,,,,,,,Yes,,1732,Yes,,Yes,,,208,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,No,,,,All residents are instructed to visit the Transfer Station for any questions on disposal or recycling.,,
BRIMFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,Patrick Sullivan,28000,26191,26191,Curbside,,,Curbside,Weekly,,,,None,43,,Trash,Recycling,Neither,Neither,,Yes,,,Yes,280,,,Yes,,,,,,,,,,,,,Yes,,Yes,27288,Yes,,No,52,,1050,,,1890,1478,,115,50,,,,,6397,182.34,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,Yes,1,No,No,"Paint and Paint products collected 6 days per week from April 1 thru October 31 each year. Recycle Center is listed as Municipal HHW Collection Facility for Brockton Residents on Energy & Environmental Affairs Website. Styrofoam,Bulky Rigid plastic, plastic bags, mattresses and carpet collected with curbside trash. City collects from 1 - 5 unit residences and mixed-use (business with attached residence) properties. First 32 gallon barrel per unit included in annual trash fee.",,
Brookfield,Mike Seery,942,559,559,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,85,,,Yes,,,,,,,,,,,,,Yes,,,235.88,No,55.61,,,81.95,129,,,,,0,4.5,,,2,,,,,651,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,No,,,,,,
Brookline,Ed Gilbert,26448,13600,13600,Curbside,,,Curbside,Weekly,Yes,Yes,65,None,40,,Both,Both,Both,Neither,,Yes,,,,200,,,,,,,,,,Yes,Yes,,Yes,40,Yes,,,Yes,8895,Yes,,,,76,4995,,,,,,138,30,,,,,3097,45,,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,0,0,0,Once a Week,Yes,27,Yes,No,,,
Buckland,Jan Ameen,691,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,Yes,209.88,No,0,,,69,,,,72.7,50.25,,22.99,4.6,,,,,,,,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Burlington,Teresa Keene,6979,6872,6872,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,17,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,No,,,,,Yes,5717,Yes,,No,,70,2392.32,,,,,,,,,,,,1245,,,0,Year Round,Year Round,Year Round,0,1 or 2,0,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,0,0,0,0,Yes,2,No,No,,,
Cambridge,Michael Orr,51900,32000,44678,Curbside,,,Both,Weekly,Yes,Yes,65,Both,37,3,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,Yes,60,Yes,,Yes,,14419,Yes,,Yes,,79.69,9206,,42.41,20.45,9.5,,108.65,,,,,545,1986,89,,Year Round,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,0,Yes,4,No,No,,,
Canton,Philip V Levreault,7340,7340,7340,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,,52,Trash,Trash,Recycling,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,,,,,,,,,,6235,Yes,,No,,64.89,1898,,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,0,0,Year Round,Year Round,Year Round,0,Yes,1,No,No,,,
Carlisle,Tim Goddard,1600,1600,1600,Drop-off,,,Drop-off,,,,,Drop-off,,12,Both,Both,Neither,Neither,Yes,,Yes,,,,25,,,,,,,,,,,,,,,Yes,,Yes,1784,Yes,,No,,,,40.95,184.02,198.33,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,543,450,450,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,Yes,,Yes,171.15,No,0,,,70,,,,45.35,34.21,1.31,1.96,1.54,,,,,,1.27,,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,0,0,No,,,,,,
Charlton,Kara Hmielowski,4270,0,0,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,48.6,No,0,Yes,,,48.6,,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Between 3 & 10,Once a Week,Once a Week,Once a Week,Once a Week,Between 3 & 10,Yes,1,No,No,"The Town of Charlton utilizes a drop-off center partnered with Southbridge Recycling and Disposal Park in Southbridge, MA which is open to Charlton Residents. The number of households that use the drop off are not tracked. The Town does not offer resident trash/recycling program and residents contract with their own hauler of their choice, but they still can use the drop-off center. There is no cost to the Town to use the drop-off center. There is no fee charged for the drop-off (2) bags of waste, unlimited acceptable recyclables, and one bulk item per week. Residents may be charged a reasonable drop-off fee for additional bulk items.",,
Chatham,Mark Mehall,3160,3160,3160,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,80,,2,,,,,,,,,,,,,,Yes,Yes,Yes,5675,Yes,,Yes,,65,240,,400,363,183,,36,18,393,,,28,,36,1238,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Chelmsford,Nicholas Parlee,13566,13566,13566,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,0,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,32,,Yes,,,,,,,,,,,11202,Yes,,No,41,70,3587.71,,,,,0,70,,,,,,,,,Year Round,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,0,1 or 2,Between 3 & 10,0,1 or 2,Yes,1,Yes,No,,,
Chelsea,Mike Sandoval,9980,9980,9980,Curbside,,,Curbside,Weekly,Yes,,,None,12,,Both,Both,Neither,Neither,Yes,Yes,,,,284,,,,,,,,,,,,,,,,,,Yes,10750.8,Yes,,Yes,,,1004.36,,,,,,314,,,,,,,150,,1 or 2,1 or 2,Once a Week,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,0,Year Round,0,Year Round,Year Round,0,Yes,1,No,No,,,
Cheshire,Linda Cernik,1367,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,,Yes,,Yes,,150,,Yes,,,,,,,,,,,,,,,Yes,470.03,No,143.5,Yes,,,,,,55.37,40.8,,29.8,,,,,,,8.88,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,No,No,,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Kathleen A. Casey,548,264,264,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,25,,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,146.25,No,23.41,Yes,,71,,,,30.09,27.46,,6.3,2.02,,,,,,1.88,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"The Town of Chesterfield is currently in the process of rebuilding their website. I was unable to provide a link to the Bulky Fees on this survey. The Town does plan to have it's website completed this spring. The fees should be posted on the website prior to the RDP grant application period. Plans are to include the link on the grant application. Questions? Please contact Kathleen Casey, HRMC Administrator.",,
Chicopee,Barry Brouillard,24200,18855,18855,Both,,,Both,Bi-weekly,Yes,Yes,95,None,26,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,No,,,,,,13652,No,0,No,,,3788.55,,,50.24,9.34,,191.08,4.33,,43.56,,,2665.92,112.6,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,1,No,Yes,,,
Chilmark,Donald Hatch,1289,420,420,Drop-off,,,Drop-off,,Yes,,,Drop-off,,,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,111.37,No,0,,,160,86.64,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,Yes,4,Yes,No,"All hard to manage material is collected at main Transfer Station in Edgartown, Ma.",,
Clarksburg,Linda Cernik,660,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,0,No,1.45,Yes,,,,,,,,,,,,,,,,3.4,,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,Yes,1,No,No,,,
Clinton,Michael J. Ward,4232,3638,3638,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,4,52,Both,Both,Recycling,Recycling,Yes,Yes,,,Yes,156,,,Yes,,,,,,,,,,,,,,,,1958.86,No,12.64,Yes,,73.13,907.21,0,20.79,10.45,23.94,0,,,,7.89,,,27,12.73,,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,0,0,No,,,,Newspaper included in mixed paper tonnage.Bulky rigid plastics included in tonnage for commingled containers.Mattresses accepted and # billed to DEP under recycle grant.Yard waste is estimate amount.Scrap metal/appliances accepted but not weighed.Joined Devens HPCC in July of 2016 - only 6 months of events twice per month.,,
Cohasset,Mary Snow,2997,2762,2997,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Recycling,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,Yes,,Yes,19,Yes,Yes,,Yes,1654,No,392,Yes,,83,,,163,422,,,89.7,39,,,,,120,13.9,392,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,No,,,,"C&D and bulky are all mixed (reported in two places)bylaws section 31 http://www.ecode360.com/documents/CO3662/CO3662-BY.pdf#search= mandatory recycling, hauler recycling",,
Colrain,Jan Ameen,674,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,,,,,,,,Yes,202.81,No,46.79,Yes,,69,,,,58.04,47.01,,24.81,1.62,,,,,,0.77,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Concord,Rod Robison,5500,3530,3632,Curbside,,,Curbside,Weekly,,,,None,,37,Both,Both,Neither,Neither,,Yes,,,Yes,242,,,Yes,,,,,,,,,,,,,,,Yes,2541,No,29.13,Yes,,79,,22.04,450,1124,577,4.52,19.3,3,,2.52,3.5,,387,19.84,25.93,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Yes,1,No,Yes,,,
Conway,Jan Ameen,668,610,610,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,,,,,,Yes,,Yes,443.91,No,101.36,No,,69,,,,121.05,80.12,,51.03,,,,,,,5.81,,Once a Month,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,
Cummington,Kathleen A. Casey,421,273,273,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,,No,,,Yes,,Yes,120.74,No,35.69,Yes,,72,60.7,,,,,,16.3,1.57,,,,,,2.28,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,Gail Bernard,11275,7767,7767,Both,,,Curbside,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,45,,Yes,,Yes,,Yes,,,,,,Yes,6182.39,Yes,,Yes,,74.44,,,,1511.61,1265.54,17.79,23.57,8.22,,,,,,7.74,,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,Year Round,Between 3 & 10,0,0,Yes,1,No,No,For #8: Other Recycled Materials:Rigid Plastics tonnage is from year round collection at Transfer Station roll-off as well as 2 recycling weekends.Textiles & metal tonnages are only from 2 recycling weekends - does not include curbside pickups or Transfer Station drop offs. E-waste tonnage is only from 1 recycling weekend in the fall - the spring event tonnages have not been reported to the Town yet - does not include curbside pickups or Transfer Station drop offs.,,
Dartmouth,"David T. Hickox, P.E.",12797,9305,9305,Both,,,Both,Weekly,,Yes,65,None,14,52,Recycling,Recycling,Recycling,Neither,,Yes,,,Yes,80,,,Yes,,,,,,,Yes,Yes,,Yes,32,Yes,,,Yes,5066.85,No,8.69,Yes,,25.07,,13.06,97.93,1521.64,1303.87,17.54,155.83,74.87,,19.82,,,1615.14,32.2,373.43,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,"Other Recycled Materials - Street Sweepings - 1,001.35 Tons Tires - 11.43 Tons Waste Oil - 2,470 Gallons Fluorescent lamps/CFLs - 0.18 Tons",,
Dedham,Virginia LeClair,7922,7922,7922,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,35,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,6558.69,No,0,No,,66,2777.24,,,,,,,28.13,,,,,1535.56,,,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,No,No,"Twice per year the Sustainability Advisory Committee hosts a collection event for textiles, paper for shredding, electronics, styrofoam and scrap metal.",,
Deerfield,Jan Ameen,1702,1435,1435,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,,,,,,,,Yes,567.95,No,98.9,Yes,,69,,,,207.33,115.08,,47.61,,,,,,60,0.87,,0,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,0,0,0,No,,,,,,
Dennis,Chad Contonio,14122,6883,6883,Drop-off,,,Drop-off,,,,,Drop-off,,52,Recycling,Neither,Recycling,Both,,Yes,,Yes,,145,,5,,,,,,,,,,,,,,Yes,Yes,,3720,No,0,Yes,,69.38,0,0,311,534,515,22,310,97,528,56,,8,2561,49,1093,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,Year Round,Yes,2,No,No,,,
Devens,David Blazon,134,0,134,None,,,Drop-off,,,,,None,45,,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,,,80.99,No,0,,,65,,,45.9,,17.38,,6.2,0.82,2.21,,,,172.8,3.5,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Year Round,Year Round,0,0,0,Yes,20,Yes,No,4. One preschool participates in program; the high school does not. 8. Cardboard includes mixed paper 8. Bulky rigid plastics are included in container collection,,
Dighton,Thomas Ferry,2489,2403,2403,Both,,,Both,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,,,Yes,Yes,Yes,,10,5,Yes,,,,,,,,,,,,,,,,1321.25,No,292.03,Yes,,,539.07,,,,,,,,,,,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,1 or 2,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,Year Round,Year Round,0,Yes,1,No,Yes,,,
Douglas,Kristin Harris,2978,1283,1283,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,,,200,,,,,,,,,,,,,,,Yes,,,Yes,1114,No,158,Yes,,,,,66,26,45,,74,1.86,,,,,,15.3,,Year Round,Between 3 & 10,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,No,,,,,,
Dover,Christopher Poulsen,2008,2008,2008,Drop-off,,,Drop-off,,,,,Curbside,,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,1921,Yes,,No,,66,127.5,12,135.1,183.4,217.4,1,0.75,18,,6.75,1.63,57.2,,25.6,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,1 or 2,Year Round,Year Round,0,No,,,,,,
Dracut,Matt Zettek,11961,10367,10427,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,28,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,9341,Yes,,Yes,52,70,2802,,,,,,38,,,,,,845,23,,1 or 2,1 or 2,Once a Month,0,0,1 or 2,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,0,Yes,1,No,Yes,,,
DUDLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstable,Joan Ferrari,1047,303,303,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,,300,,,,,,,,,,Yes,Yes,,Yes,8,Yes,,,,150,Yes,,Yes,,,,22.21,,5.45,13.28,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,1 or 2,0,0,No,,,,"yearly revenue for all recyclables is $1,500.00",,
Duxbury,Trudy Lavin,5500,5000,5000,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,,Yes,25,,,Yes,,,,,,,Yes,,,,,Yes,,Yes,,2562.76,No,0,Yes,,56.38,1897.67,,,,,,342.62,86.02,,,,,3350,42.58,1349.77,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,
East Bridgewater,Robert Kenn,4573,2890,2890,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,22,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,Yes,1845,No,0,Yes,,,1122,,,,,4,40,14.57,,,,,30.24,120,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,Year Round,Year Round,1 or 2,0,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Yes,1,No,No,,,
East Brookfield,DONNA WENTZELL,974,913,974,Both,,,Both,Bi-weekly,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,130,,,Yes,,,,,,,Yes,,,,,,,,Yes,494.19,No,28.37,Yes,,75.25,28.37,,,76.67,58.24,,18.21,,,,,,20,8.54,7,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,0,Once a Week,Once a Week,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Once a Week,Year Round,0,Once a Week,No,,,,THE RECYCLE CENTER IS OPEN ON SATURDAYS 9-3 WINTER HOURS AND APRIL-NOVEMBER IT IS ALSO OPEN ON THURSDAYS 2:30-4:30. THE ABOVE RECYCLABLE MATERIALS CAN BE RECYCLED WHENEVER THE CENTER IS OPEN 1 OR 2'CE A WEEK. THE FLUORESCENT BULBS AND HOUSEHOLD BATTERIES MAY BE DROPPED OFF AT THE TOWN HALL WHEN OPEN.,,
