Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2017,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks 1 lb.,Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Bags,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2017?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Braintree,Rosemary Nolan,12235,10373,10373,Both,Yes,64,Both,Weekly,Yes,Yes,64,None,13,42,Both,Both,Neither,Neither,Yes,Yes,,,,150,,,,Yes,1,64,Yes,,Yes,Yes,Yes,,,Yes,,Yes,30,,,,,,,Yes,11187.42,Yes,0,No,104,,2722,,,,,41.6,138,113.81,,,,,4700,8.5,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,2,No,No,,,
Brewster,Kelly,10547,4227,4227,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Recycling,Both,Yes,Yes,Yes,,Yes,45,10,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,1190.32,No,567.22,Yes,,63.04,,,,530.79,260.3,,48.53,31.46,,13.67,,,202.5,24.25,568.81,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,,,No,,,,"We have entered 0 for the following as they go into our Mixed Construction and Demolition Bin: Wood and Carpet.
We are getting ready to institute a Food Waste program.
We have a Scout Bin where resident's are encouraged to drop-off redeemable bottles. 
We",,
BRIDGEWATER,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIMFIELD,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J. Patrick Sullivan,31382,26200,26200,Curbside,,,Both,Weekly,Yes,,,None,43,,Both,Neither,Neither,Recycling,,Yes,,,Yes,280,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,29630,Yes,0,No,52,,1926,0,100,1695,1217,1,160,15,,,,,6670,107.97,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,,,Yes,1,No,No,"Latex and Oil-based paint collected 6 days per week from April 1'st thru October 31'st.  City curbside trash services 1-5 family units. Program changes effective 4/1/18: 96 gallon single stream recycling containers with bi-weekly collection, 35 gallon tra",,
Brookfield,Mike Seery,942,564,564,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,,85,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,243.07,No,63.48,,,81.95,132,,,,,,4.75,,,2,,,,,654,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,,,No,,,,,,
Brookline,Ed Gilbert,26448,13300,13300,Curbside,Yes,65,Curbside,Weekly,Yes,Yes,95,None,34,,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,,,Yes,8495,No,0,No,,77,5084,,,,,,14.77,43.26,,,,,2913.38,42.18,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Year Round,0,,Yes,27,Yes,No,,,
Buckland,Jan Ameen,684,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,219.8,No,0,,,70,,,,80.39,53.63,,14.98,3.58,,,,,,,,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,,No,,,,,,
Burlington,Teresa Keene,7032,6925,6925,Curbside,Yes,65,Curbside,Weekly,Yes,Yes,65,None,17,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,5538,Yes,0,No,48,70,2408,,,,,,,,,,,,1435,,,0,0,0,0,1 or 2,1 or 2,0,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,0,0,0,0,Yes,2,No,No,,,
Cambridge,Michael Orr,52000,32500,44700,Curbside,,,Both,Weekly,Yes,Yes,65,Both,37,4,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,60,Yes,Yes,Yes,Yes,,Yes,Yes,14251,Yes,0,Yes,,81.36,9076,,44.46,18.7,17.21,,98.11,,,,,505.9,1949,76.6,,Year Round,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,Yes,4,No,No,,,
Canton,Philip V Levreault,7370,7370,7370,Curbside,,,Curbside,Bi-weekly,Yes,Yes,96,None,,52,Trash,Trash,Recycling,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,,,,,,,,,,,,,,,,6387,Yes,0,No,,67.18,,,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Year Round,,0,Yes,1,No,No,,,
Carlisle,Timothy Goddard,1600,1600,1600,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Neither,Neither,,,Yes,,,,25,,,,,,,,,Yes,Yes,,,Yes,,Yes,0,,,,,Yes,,Yes,1811,Yes,0,No,,,,39.26,176.45,185.21,,57.24,103.5,,217.09,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,1,No,No,,,
CARVER,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,473,450,450,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,Yes,,Yes,172.64,No,0,,,70,,,,46.9,35.43,5.22,5.99,1.35,,,,,,1.65,,0,0,Year Round,0,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,,Year Round,0,0,No,,,,The 2016 total household number was incorrect.,,
Charlton,Kara Hmielowski,4767,0,0,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,48.6,No,0,Yes,,,48.6,,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Between 3 & 10,Once a Week,,Once a Week,,,Yes,4,No,No,,,
Chatham,Josh Pelletier,3160,3160,3160,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,80,,2,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,5870,Yes,0,Yes,,65,250,,450,395,200,,40,22,381,2.2,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Chelmsford,Nicholas Parlee,13900,13900,13900,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,2,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,2,32,Yes,Yes,No,,,,,,,,,,,,,,,,11045.91,Yes,0,No,41,70,3812.72,,,,,4,43.8,21,,,,,,,,Year Round,0,0,Year Round,Between 3 & 10,Year Round,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,Once a Week,,Between 3 & 10,0,,Yes,1,No,No,"Textile collection represents a partial year, 4 months",,
CHELSEA,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Linda Cernik,1353,875,875,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,150,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,463.96,No,136.09,Yes,,,,,,60.35,36.84,,42.96,,,,,,,6.54,,1 or 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,No,,,,"HHW secured for the district member towns June 2, 2018. 6 paint collections were held for the member towns in CY17, oil based paint, stain. The district has six mercury product sheds for collection open to all district member towns. In 2017 we doubled our",,
CHESTER,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Kathleen A. Casey,549,253,253,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,25,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,147.2,No,16.64,Yes,,71,,,,33.06,27.93,,9.9,3.58,,,,,,1.5,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,No,,,,,,
Chicopee,Barry Brouillard,24120,18865,18865,Both,Yes,35,Both,Bi-weekly,Yes,Yes,95,None,26,52,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,19,,,,,,,,11105.25,No,0,No,,,4648.4,,,51.29,,,153,4,,57.59,,,4406.57,105.74,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,,Yes,1,No,Yes,,,
Chilmark,Donald Hatch,1304,420,420,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,114,No,0,,,162,84,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,0,Yes,4,Yes,No,,,
Clarksburg,Linda Cernik,720,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,1.53,Yes,,,,,,,,,2.6,,,,,,,3.06,,0,1 or 2,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,No,,,,"HHW secured for the district member towns June 2, 2018. Clarksburg residents have access to paint collections & Mercury product disposal with districts member towns. NBSWMD coordinates annual bulky waste collection for the town of Clarksburg, residents ha",,
Clinton,Michael J. Ward,4233,3693,3693,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,4,52,Both,Both,Recycling,Recycling,Yes,Yes,,,Yes,156,,,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,,,2104.55,No,36.29,Yes,,75.32,935.14,0,11.87,20.82,17.09,3.01,,,,19.03,,,27,13.08,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,0,,Year Round,0,0,No,,,,"Newspaper included in mixed paper tonnage. Scrap metal/appliances accepted but not weighed. Carpet accepted in bulky waste bin. Member of Devens HPCC
which provides residents with opportunity for collection of most ""other recycled material"" listed above.",,
Cohasset,Mary Snow,2952,2762,2762,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,1560,No,413,Yes,,90.5,,,171,367,237,,109,34.2,,,,,140,17.1,413,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,No,,,,"Bulky and C&D tons are the same, not clear if they should be reported twice",,
Colrain,Jan Ameen,677,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,207.05,No,40.07,Yes,,70,,,,58.25,45.43,,23.18,2.43,,,,,,1.19,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,,No,,,,,,
Concord,Rod Robison,5500,3536,3633,Curbside,,,Curbside,Weekly,,,,None,,39,Both,Both,Neither,Neither,,Yes,,,Yes,254,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,2635,No,24,Yes,,79,,22.04,134,1113,648,3.43,13.72,2.13,,1.68,3.25,,374,13.38,32.98,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,,1 or 2,0,,No,,,,,,
Conway,Jan Ameen,669,610,610,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,474.25,No,89.35,No,,70,,,,113.29,81.37,,52.46,,,,,,,3.42,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,,,No,,,,,,
Cummington,Kathleen A. Casey,423,279,279,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,Yes,,Yes,121.61,No,32.14,Yes,,72,59.99,,,,,,5.55,3.15,,,,,,1.37,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,No,,,,,,
Dalton,Edward Fahey,2929,719,719,Drop-off,,,Drop-off,,,,,None,,45,Neither,Neither,Neither,Neither,,,Yes,,Yes,,80,,Yes,,,,,,,Yes,Yes,Yes,,Yes,Yes,No,,Yes,Yes,Yes,,,,,567.96,No,0,,,,,,,169.9,95.9,,,,,,,,,,,1 or 2,0,0,0,1 or 2,Year Round,0,0,1 or 2,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,,Year Round,,0,Yes,1,No,Yes,,,
Danvers,Gail Bernard,11316,7785,7785,Both,,,Curbside,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,45,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,6189.72,Yes,0,Yes,,75.59,,,,1447.99,1204.27,30.62,21.25,8.27,,,,,,16.03,,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,Year Round,Year Round,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,,Between 3 & 10,0,0,Yes,1,No,No,"8. Tonnages for ""Other Recycled Materials"" are from 2 Zero Waste Recycling Weekend events in the fall and spring unless otherwise noted below - does not include curbside pickups or Transfer Station drop offs unless noted.  
Rigid Plastic tonnage is from e",,
Dartmouth,"David T. Hickox, P.E.",12768,10040,10040,Both,,,Both,Weekly,,Yes,65,None,14,52,Recycling,Recycling,Recycling,Neither,,Yes,,,Yes,80,,,Yes,,,,,,,Yes,Yes,,,Yes,,Yes,32,Yes,Yes,Yes,Yes,,,Yes,5690.58,No,9.87,Yes,,,,10.01,109.12,1514.53,1295.53,21.17,179.04,94.31,,19.79,,,2487.66,40.09,456.39,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,0,,No,,,,"Other Recycled Materials 
Batteries:              0.03 tons
Books:                 17.30 tons
Fluorescent lamps/CFLs: 0.90 tons
Styrofoam:              0.26 tons
Street Sweepings:     861.68 tons
Tires:                 14.81 tons
Waste Oil:          3,125",,
Dedham,Virginia LeClair,8900,8900,8900,Both,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,36,,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,Yes,6206,Yes,0,No,51,67.14,2800,,,,,,,62680,,,,,1500,,,1 or 2,1 or 2,Between 3 & 10,Between 3 & 10,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,,Year Round,0,,Yes,1,No,No,"I hesitated in marking Plastic bags as not accepted, because while the Town doesn't accept them they are accepted at local grocery stores, other items such as batteries and electronics are also accepted at local stores in Dedham. We have a mercury shed th",,
Deerfield,Jan Ameen,1703,1300,1300,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,Yes,568.68,No,110.68,Yes,,70,,,,200.47,119.67,,40.11,8.58,,,,,60,,,Year Round,0,0,0,0,Year Round,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,0,0,No,,,,,,
Dennis,Chad Contonio,14179,6910,6910,Drop-off,,,Drop-off,,,,,Drop-off,,52,Recycling,Neither,Recycling,Both,,Yes,,Yes,,152,,5,,,,,,,,,,,,,,,,,,,,Yes,Yes,,3760,No,0,Yes,,70.42,0,0,310,522,495,31,361,15,503,65,,11,2218,46,1162,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,0,,Yes,3,No,Yes,,,
Devens,David Blazon,143,0,143,None,,,Drop-off,,,,,None,45,,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,61.4,No,0,,,65,,,50.79,,18.43,,5.5,0.96,6.59,,,,22.65,1.25,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Once a Month,0,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,0,Year Round,Year Round,,0,0,0,Yes,20,Yes,No,"4. One preschool participates in program, the high school does not. 8. Cardboard includes mixed
paper 8. Bulky rigid plastics are included in container collection",,
Dighton,Todd Pilling,2730,2630,2630,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,,,,,,,,,,,,,,,,1479,No,204.07,Yes,,68.69,632.39,0,20.16,0,0,,,,,,,,5.4,7.01,,1 or 2,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,0,0,,Yes,1,No,No,,,
Douglas,Kristin Harris,2983,1246,1246,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,,,200,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,1092,No,166,Yes,,,,,59,29,121,65,55,1.99,,,,,,14.66,,Year Round,Between 3 & 10,Year Round,Year Round,0,0,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,,Year Round,0,0,No,,,,,,
Dover,Christopher Poulsen,2034,1474,1474,Drop-off,,,Drop-off,,,,,Curbside,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,1062.5,No,264.3,No,,69,,,132.4,136.8,,51.3,80.5,16.9,,9.9,,57.2,,21.2,,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,,,No,,,,"Other large categories of items recycled/re-used by the Town, not listed by MassDEP above:
Clear Glass: 32.0 Tons ($617 received at $19.28 per ton)
Colored Glass: 52.2 Tons (-$1,360 cost to dispose at $26.05 per ton)
Deposit Containers: 19.8 Tons ($12,969",,
Dracut,Matt Zettek,12027,10433,10493,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,28,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9780,Yes,0,Yes,52,70,2988,,,,,,32,2,,,,,845,23,,1 or 2,1 or 2,Once a Month,0,0,1 or 2,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,,,
DUDLEY,--DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstable,Joan Ferrari,1079,238,268,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,Yes,,,,300,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,Yes,,,,,150,No,4.75,Yes,,,,,6.27,24.06,31.11,,4.75,,,,,,,,,1 or 2,1 or 2,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,Year Round,Once a Week,0,Once a Week,0,0,No,,,,,,
Duxbury,Liz Mahan,5800,5200,5200,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,Yes,,Yes,,Yes,,35,,Yes,,,,,,,Yes,Yes,,Yes,Yes,,No,,Yes,Yes,Yes,Yes,,Yes,,2542,No,0,Yes,,57.79,1749,,39,70,44,,260,86.7,,,,,3000,33.8,1325,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,,No,,,,,,
East Bridgewater,Rob Kenn,4300,2700,2700,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,22,Both,Both,Neither,Neither,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,1619,Yes,0,Yes,52,68,1619,,,,997,6,8,31805,80.5,,,,39.96,115.2,,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,Once a Month,1 or 2,1 or 2,1 or 2,1 or 2,Once a Month,Once a Month,Once a Month,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,,0,0,,Yes,1,No,No,,,
East Brookfield,DONNA WENTZELL,983,948,983,Curbside,,,Curbside,Bi-weekly,,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,Yes,130,,,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,521.73,Yes,0,Yes,,75.25,58.59,43.75,,2.5,37.24,,16.57,,,,,,,9,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,,No,,,,,,
