Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type,Yard Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Swap-Shop,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Did your municipality host comprehensive household hazardous waste collection events in 2011?,How many events?,Regional,Reciprocal,Comments/Additional Information,
CHILMARK,Don Hatch,1606,200,200,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,Yes,,,,,,,,,,,132,No,,,,50,30,,,,,,,,,0,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Yes,4,Yes,No,,
CLARKSBURG,Sandy Totter,659,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,Yes,0,No,,,,,,,,,,,,,,0,0,1 or 2,1 or 2,0,0,0,0,0,Between 3 & 10,Year Round,0,0,Year Round,0,No,,,,"Clarksburg has no municipal trash/recycling program.  It is all private subscription.  Through the Northern Berkshire Solid Waste Management District, Clarksburg residents participate in electronics, bulky waste, paint, mercury and household hazardous was",
CLINTON,Michael J. Ward,2322,2322,2322,Curbside,,,Drop-off,Yes,,,None,Drop-off,,4,Trash,Trash,Recycling,Yes,,,,,,,,,,,2036,No,1,122,99,0,129,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,
COHASSET,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLRAIN,Jan Ameen,623,603,603,Drop-off,,,Drop-off,,,,None,None,,,Neither,Neither,Neither,Yes,,,,,,,,,,Yes,199,Yes,,,,70,44,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
CONCORD,Rod Robison,5100,3360,3488,Curbside,,,Curbside,,,,None,Drop-off,,49,Both,Both,Neither,Yes,,,,,,,,,,Yes,2512,No,,22,451,1186,609,,23,,,3,4,,2200,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,0,Once a Week,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Yes,8,Yes,No,,
CONWAY,Jan Ameen,780,750,750,Drop-off,,,Drop-off,,,,None,None,,,Recycling,Recycling,Neither,,,,,,,,,,Yes,Yes,554,Yes,,,,127,73,,37.28,5,,,,,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Once a Month,Once a Month,0,Yes,1,Yes,Yes,,
CUMMINGTON,Eric Weiss,375,375,375,Both,,,Both,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,145,Yes,,,,50,22,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DANVERS,Gail Bernard,10619,7810,7810,Both,,,Curbside,,,,None,Both,17,52,Both,Both,Neither,,Yes,3,45,,Yes,Yes,,Yes,,Yes,6912,Yes,,,,1342,768,,,,,,,,,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,"The operation of Danvers' Transfer Station was taken over by Covanta/JRM in 2011.  We do not have numbers for metal or yard waste from them as of yet.  If we are able to obtain this data, I will report it to Sharon Kishida.",
DARTMOUTH,"David T. Hickox, P.E.",12350,9805,9805,Both,,,Both,,,,None,Both,7,52,Both,Recycling,Neither,Yes,,,,,,,,,,,4351,Yes,,,,1588,908,,113,5,,3,,,509,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,No,"Newspaper and cardboard are seperated at the town drop-ff recycling site.  Curbside is combined.  For this survey, all paper products are listed as mixed paper.",
DEDHAM,Virginia LeClair,9396,8900,8900,Curbside,Yes,64,Curbside,Yes,Yes,96,None,Both,38,52,Both,Both,Neither,,,,,,,,,,,Yes,6921,Yes,2721,,,,,,5208,,,,,,256025,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,1 or 2,Yes,1,No,No,,
DEERFIELD,Jan Ameen,1920,1117,1117,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Neither,Neither,Neither,Yes,,,,,,,,,,Yes,1081,Yes,,,,241,132,,35.82,,,,,,,0,0,1 or 2,1 or 2,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
DENNIS,Chad Contonio,13859,7200,13859,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Recycling,Neither,Recycling,,,,,,,,,,Yes,,6615,Yes,0,0,305,435,361,,275,87,933,40,,,2052,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,,
DEVENS,David Blazon,135,0,135,None,,,Drop-off,,Yes,96,None,Both,44,52,Both,Both,Recycling,,,,,,,,,,,,102,Yes,,,46,6,29,,17.04,2.58,8.96,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,12,Yes,No,"4. One pre-school participates in program, the high school does not. 
8. Cardboard includes some paper",
DIGHTON,THOMAS FERRY,2330,2330,2330,Curbside,,,Both,Yes,Yes,18,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,,,1386,No,466,,,,,,17,,,,,,,0,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,PLEASE NOTE OUR SCHOOLS MANAGE THERE OWN TRASH AND RECYCLING.THEY ARE ACTIVE IN THERE RECYCLING.,
DOUGLAS,Justin Lapham,3044,1300,1300,Drop-off,,,Drop-off,,,,None,None,,,Recycling,Neither,Neither,,,,,,,,,,,Yes,1680,Yes,,,,108,68,,54,2.5,,,,,,Year Round,1 or 2,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,No,,,,,
DOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRACUT,Matt Zettek,11264,10006,10066,Curbside,,,Curbside,,,,None,Drop-off,,30,Both,Both,Neither,,,,,,,,,,,,11417,Yes,,,,1126,648,,,,,,,,818,1 or 2,1 or 2,Once a Month,0,0,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"Through a partnership with the City of Methuen, Dracut participates in the Essex County HHW Network program and residents can attend either/both events.  For example, in 2011, we hosted our event in the spring (April) and Methuen hosted their event in the",
DUDLEY,Rosalie,3595,689,689,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Neither,Neither,Neither,,,,,,,,,,Yes,,613,Yes,223,,,,,,,,,,,,,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,0,0,Yes,1,No,No,"The number of households is 689 is the number of stickers sold by the Town to the residents, the stickers are good for one year.  All other residents use private haulers.  We accept residential trash only.  We must also rent dumpsters.",
DUNSTABLE,Joan Ferrari,1033,476,476,Drop-off,,,Drop-off,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,,,421,Yes,,,47,82,89,,13,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,Yes,No,,
DUXBURY,Peter Buttkus,5372,5000,5000,Drop-off,,,Drop-off,Yes,,,None,Drop-off,,52,Recycling,Neither,Neither,Yes,,,,,,Yes,Yes,,Yes,Yes,2506,Yes,2222,,,,,,356,50,2000,320,,,1300,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,Yes,"Hosted 1 Hazardous Waste Collection Event, Participated in 10 events held in other towns.",
EAST BRIDGEWATER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAST BROOKFIELD,Donna Wentzell,964,925,964,Curbside,,,Both,,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,,492,Yes,,,,73,72,,8.61,,,,,,10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"We recycled 19,150 #'s of electronics and 173 misc. tires",
EAST LONGMEADOW,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTHAM,Neil Andres,5929,3735,3735,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,52,Both,Both,Both,,,,,,,,,,Yes,Yes,3073,No,,343,122,159,189,,231,42,742,,,5,758,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,Mattreses and carpet included in C&D,
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTON,Maurice Goulet,5734,3052,3052,Curbside,Yes,64,Curbside,Yes,Yes,96,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,2754,Yes,877,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,,
EDGARTOWN,Don Hatch,5220,2088,2088,Drop-off,,,Drop-off,,,,None,Drop-off,,,Both,Both,Both,Yes,,,,,,,,,,,5091,No,598,,,424,217,,153.87,14,2610,10,,,222,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,4,Yes,No,,
EGREMONT,Mary Brazie,787,787,787,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,,Both,Both,Both,,,,,,,Yes,Yes,,Yes,Yes,431,No,,,,112,74,,15.05,3,68.24,,,,,0,0,Year Round,Year Round,0,Year Round,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,In chart above for Wood - that is a demolitions materials total,
ERVING,Jan Ameen,800,800,800,Curbside,,,Curbside,,,,None,None,,37,Both,Neither,Neither,,,,,,,,,,,Yes,485,Yes,,,,135,52,,9.6,,,,,,82,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
ESSEX,Mandy Davis,1300,1000,1000,Drop-off,,,Drop-off,,,,None,Drop-off,,208,Both,Neither,Neither,,,,,,,,,,Yes,,1294,Yes,0,0,63,106,120,,78.61,,,,,,15,1 or 2,1 or 2,Year Round,0,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,0,Year Round,1 or 2,Year Round,Yes,1,No,No,,
EVERETT,Jon Norton,16231,13644,13644,Curbside,,,Curbside,Yes,Yes,96,None,Curbside,16,,Both,Both,Both,,,,,,,,,,,,15628,Yes,2794,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,0,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,recycling carts are available in 3 sizes but 96 gallon is most popular.  Businesses receiving trash collection must recycle.,
FAIRHAVEN,Patricia Fowle,6555,5550,6000,Curbside,,,Both,,,,None,Both,8,44,Both,Both,Recycling,,Yes,10,32,Yes,Yes,Yes,Yes,,,,6140,Yes,,,,581,383,,26,18,,,,,950,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,Household Hazardous Waste day has been held every other year since 1991. Next planned event is Summer 2012.,
FALL RIVER,BETSEY WESTELL,42000,33000,33000,Both,Yes,95,Both,Yes,Yes,95,None,Both,30,40,Neither,Neither,Both,,Yes,3,95,Yes,,,,,,,35956,Yes,3238,,6,,,,105,3,,,,,4576,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,"BARREL AND CART SIZE ARE AS FOLLOWS FOR THE 13,000 HOUSEHOLDS WHICH HAVE CARTS (AND WILL BE FOR ALL HH BY END OF YEAR).
65 GALLON FOR SINGLE FAMILY HOMES  (ONE TRASH/ONE RECYCLE)
95 GALLON FOR 2 FAMILY HOMES (ONE RECYCLE/ONE TRASH)
TWO 95 GALLON TRASH CAR",
FALMOUTH,John T. Lyons,15409,15409,15409,Both,,,Both,Yes,,,None,Drop-off,,52,Both,Both,Neither,,,,,,,,,,Yes,,11509,No,3082,84,85,,44,,74.32,100,102.56,7,,,2400,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,"Please be advised that the response to question # 2 a,b,c will differ from last years numbers. I inadvertantly used the number of residents last year rather than the number of households. Sorry for the error. This years number was verified with our Town C",
FITCHBURG,Stephen D. Curry,16500,13500,13500,Both,,,Both,Yes,,,None,Both,16,52,Both,Both,Neither,,,,,,,,,,,,14150,Yes,1267,20,15,,,,2.53,,,,,,1551,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,Yes,Yes,,
FLORIDA,Sandy Totter,265,265,265,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,,,,,Yes,399,Yes,,,,25,13,,24,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
FOXBOROUGH,Christine,4877,3788,3788,Curbside,,,Curbside,,,,None,Drop-off,,35,Both,Both,Neither,Yes,,,,,,,,,,,3394,No,,,,951,437,,142.97,,,,,,,1 or 2,Once a Week,Once a Week,Once a Week,Year Round,Year Round,0,Year Round,Year Round,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
FRAMINGHAM,Stacey King,27529,17300,17300,Both,,,Both,Yes,Yes,96,None,Both,10,36,Both,Both,Recycling,,Yes,3,35,Yes,,,,,,Yes,15682,Yes,4969,0,125,102,5,48.11,275.54,9.6,14360,65.39,25.02,2.96,2295,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
FRANKLIN,Chris White,13000,9000,9000,Curbside,Yes,65,Both,Yes,Yes,65,None,Both,7,52,Both,Both,Recycling,,,,,,,Yes,Yes,Yes,,,7453,Yes,3457,,52,,,48,175,3,,,,,1200,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,"HHW, mattresses, box spring, carpeting will be added to the recycling center in 7/1/12",
FREETOWN,Jeff Frechette,2932,2656,2656,Curbside,,,Both,Yes,,,None,Drop-off,,52,Both,Neither,Neither,Yes,,,,,,,,,Yes,,1653,Yes,613,,22,41,14,,58.87,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,No,,,,Yard waste drop-off is a free service for our residents at the Transfer Station so we do not keep track of the tonnage.,
GARDNER,Bernard Sullivan,8200,6400,6800,Both,Yes,48,Both,Yes,Yes,96,None,Both,11,52,Both,Both,Recycling,Yes,,,,,,,,,Yes,,3697,No,1635,,156,,,,41.66,,,381,,,143.95,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,Yes,"I answered year round for paint collection, but we do no collect paint from December to April",
GEORGETOWN,Deborah Rogers,2437,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,Yes,,,,,,,,,,,,,,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Yes,1,No,No,The Townof Georgetown leases out the transfer station to an independent contractor. The Georgetown BOH holds one hazardous waste days per year,
GILL,Jan Ameen,582,582,582,Curbside,,,Curbside,,,,None,None,,,Both,Neither,Neither,Yes,,,,,,,,,,Yes,208,No,,,,67,46,,,,,,,,,0,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,0,0,0,Yes,1,Yes,Yes,,
GLOUCESTER,Rose LoPiccolo,13800,12500,12500,Curbside,,,Curbside,,,,None,Both,2,21,Both,Both,Neither,Yes,,,,,,Yes,Yes,Yes,,,6860,Yes,10,,,1752,1262,,41,,,,,,2800,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,Once a Month,1 or 2,1 or 2,Once a Month,1 or 2,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Yes,1,No,Yes,,
GOSHEN,Eric Weiss,350,350,350,Both,,,Both,,,,None,None,,,Both,Both,Both,Yes,,,,,,Yes,Yes,,,Yes,145,Yes,,,,47,20,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,Yes,No,,
GOSNOLD,Asa Lombard,120,120,120,Curbside,,,Curbside,,Yes,30,Curbside,Curbside,8,,Both,Both,Both,Yes,,,,,,,,,,Yes,140,Yes,,,,,,,6.25,,,8.9,,,,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Once a Month,Yes,1,No,No,,
GRAFTON,Kevin J. Mizikar,6971,4813,4813,Curbside,,,Both,Yes,Yes,96,None,Drop-off,,30,Both,Both,Neither,Yes,,,,,,,,,,,3135,No,1517,,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,No,,
GRANBY,Christopher Martin,2400,2300,2300,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Neither,Recycling,Neither,Yes,,,,,,Yes,Yes,,,,3389,Yes,,,,232,112,,99.27,,,,,,86.89,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,0,0,0,0,Yes,2,No,No,,
GRANVILLE,Kathryn Martin,500,400,500,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Recycling,Yes,,,,,,Yes,Yes,,,Yes,235,No,,,,66,32,,16.4,1,,,,,,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,0,0,No,,,,"we collected and diverted 5 tons  of books, CD's, etc, one ton of tires, and 5 tons of electronic waste.",
GREAT BARRINGTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GREENFIELD,Janine Greaves,18168,7500,7500,Both,,,Both,,,,None,Both,12,52,Both,Both,Neither,Yes,,,,,,Yes,Yes,,,Yes,3817,No,,,62,1145,588,,252,,,,,,591,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,We accept household hazardous Monday through Friday all year long.,
GROTON,Tom Delaney,3395,1478,1478,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Recycling,Yes,,,,,,Yes,Yes,,Yes,Yes,1381,Yes,,,109,346,159,,857.9,9.75,,,,,200,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,12,Yes,No,Glitch in new accounting program that tracks sticker sales for transfer station so CY10 data used.,
GROVELAND,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HADLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HALIFAX,Susan Johnston,2947,2013,2947,Curbside,,,Curbside,,,,None,Drop-off,,52,Both,Recycling,Neither,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,808,Yes,,181,32,18,139,,25.56,1,,,,,1,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,The Town trash program is available to all residents.  We calculated 20% of the households minus our Mobile Home Park (they have their own service) use a private hauler.,
HAMILTON,John Tomasz,2379,2379,2379,Curbside,Yes,64,Curbside,Yes,,,Curbside,Drop-off,,9,Both,Both,Both,Yes,Yes,5,64,,Yes,,,,,,1816,Yes,817,,,,,,18,,,,,42,,Once a Month,Once a Month,Once a Month,Once a Month,1 or 2,Once a Month,Once a Month,1 or 2,0,1 or 2,Once a Month,Once a Month,Year Round,Year Round,Year Round,Yes,1,No,No,,
HAMPDEN,Jane Budynkiewicz,2248,603,603,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Neither,Neither,Neither,Yes,,,,,,,,,,,311,No,0,0,43,77,51,,,,,,,,14,0,0,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,1 or 2,0,1 or 2,1 or 2,1 or 2,0,Yes,1,Yes,No,,
HANCOCK,Sandy Totter,296,296,296,Drop-off,,,Drop-off,,,,None,None,,,Both,Both,Both,,,,,,,,,,,Yes,224,Yes,,,,34,16,,14,,,,,,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
HANOVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANSON,Donna Tramontana,3364,3364,3364,Drop-off,,,Drop-off,,,,Drop-off,Drop-off,,9,Both,Neither,Neither,,,,,,,Yes,Yes,,,,3026,Yes,,,,363,171,,73.57,,,,,,,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,
HARDWICK,Theresa A. Cofske,997,0,0,None,,,Drop-off,,,,None,None,,,Recycling,Recycling,Neither,,,,,,,,,,Yes,,0,No,,,,97,37,,50,15,,,,,,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,0,Once a Week,Once a Week,Once a Week,Once a Week,Once a Week,No,,,,"Item 9: We are open 2 days per week and collect hard to manage materials both days each week.
Item 10: We partner with North Brookfield for an annual hazardous waste day.
Population is 2,963",
HARVARD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARWICH,Lincoln Hooper,8000,6000,6000,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Recycling,Recycling,Recycling,,,,,,,,,,Yes,,4800,No,,231,287,97,409,,442,66,936,85,,,2430,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,6,Yes,No,,
HATFIELD,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVERHILL,Steve Clifford,20094,17272,20094,Curbside,,,Both,Yes,,,None,Drop-off,,39,Both,Both,Both,,Yes,3,35,Yes,Yes,Yes,Yes,Yes,,,22363,Yes,4211,,,,,,53.71,,,,,,9463,0,Year Round,1 or 2,1 or 2,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,2,No,No,City collects trash and singlestream recycling form appx. 300 business.,
HAWLEY,Jan Ameen,194,0,0,None,,,None,,,,None,None,,,Neither,Neither,Neither,,,,,,,,,,,,0,No,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,1,Yes,Yes,,
HEATH,Jan Ameen,350,234,234,Drop-off,,,Drop-off,,,,None,None,,,Recycling,Neither,Neither,,,,,,,,,,,Yes,224,No,,,,32,32,,21.46,,,,,,,Year Round,Year Round,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
HINGHAM,Randy Sylvester,7189,7189,7189,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Recycling,Recycling,,,,,,,Yes,Yes,,Yes,,7558,Yes,,,468,901,697,,362,158.9,,,,,3000,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,
HINSDALE,Sandy Totter,739,464,464,Drop-off,,,Drop-off,,,,None,Drop-off,,52,Both,Both,Both,,,,,,,,,,,Yes,463,Yes,,,,68,19,,8,,,,,,,0,0,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,0,No,,,,,
HOLBROOK,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
