Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by transfer station access fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT/ SMART revenue?,What is the annual fee?,What is the transfer station access fee?,What is the per-visit fee?,PAYT/ SMART,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Applies to Residential Generators Eligible to be Served by Municipal Program,Applies to Residential Generators not Eligible to be Served by the Municipal Program,Applies to Commercial Generators,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Applies to Haulers Serving Residential Generators Eligible to be Served by Municipal Program,Applies to Haulers Serving Residential Generators Not Eligible to be Served by Municipal Program,Applies to Commercial Generators,Swap-Shop,Reuse area at transfer station/ recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,"Annual Bulky 
Waste 
Limit",Tip Fee as of 1/1/2020,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,C&D,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,"Propane tanks 
1 lb.",Propane tanks  20 lb.,Anti-freeze,Used oil filters,Latex paint,Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Plastic Film,Fire Extinguishers,Did your municipality host comprehensive household hazardous waste collection events in 2019?,How many events?,Regional,Reciprocal,,,,,,,,,,,,,,,
Brewster,Emily Sumner,7300,3509,3509,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Recycling,Both,Yes,Yes,Yes,,Yes,50,10,,Yes,,,,,,,,,,,,,,,,,,,Yes,,Yes,1130.62,No,515.57,Yes,,67.88,,,,478.55,368.89,,98.66,33.36,,9.1,,11.67,216,17.39,516,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Bridgewater,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brimfield,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton,J. Patrick Sullivan,28200,26422,26422,Curbside,Yes,35,Both,Bi-weekly,Yes,Yes,96,None,29,52,Both,Recycling,Neither,Neither,,Yes,,,Yes,280,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,25037,Yes,,Yes,52,,7127,,102,77,28,2,223,35,,108.54,,,6524,62.96,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Brookfield,Mike Seery,946,580,580,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,Yes,,,Yes,85,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,Yes,Yes,,496.06,Yes,,Yes,,78.5,127.54,,,,,,8.4,1,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,,,,,,,,,,,,,
Brookline,Ed Gilbert,26448,13310,13310,Curbside,Yes,35,Curbside,Weekly,Yes,Yes,65,Drop-off,36,,Both,Both,Both,Neither,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,40,Yes,Yes,Yes,Yes,,,Yes,8353,Yes,,No,,78,4681,,,,,,187,38,,,,,2168,37,,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Year Round,Once a Week,Once a Week,Once a Week,Once a Week,0,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Once a Week,Yes,24,Yes,No,,,,,,,,,,,,,,,
Buckland,Jan Ameen,683,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,,,Yes,223.15,No,0,,,79,,,,59.41,54.93,,22.12,4.37,,,,,,,,Once a Month,< 6,< 6,< 6,Once a Week,Year Round,Year Round,Year Round,Once a Week,Once a Week,0,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,< 6,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Burlington,Teresa Keene,7041,7023,7023,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,18,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,No,,,,,,,,Yes,5513.18,Yes,,Yes,208,70,2188.9,,,,,,,,,,,,,,,0,< 6,0,0,0,< 6,0,0,0,0,< 6,< 6,< 6,< 6,< 6,< 6,< 6,0,< 6,0,0,0,0,0,Yes,2,No,No,,,,,,,,,,,,,,,
Cambridge,Michael Orr,50000,32500,44700,Curbside,,,Curbside,Weekly,Yes,Yes,65,Curbside,37,4,Both,Both,Recycling,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,60,Yes,Yes,Yes,Yes,,Yes,,12938,Yes,,Yes,,102.68,8525,,30,,21.57,,117,84.35,,122,,1755,1700,72.83,,Year Round,< 6,0,Year Round,Year Round,Year Round,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,0,Year Round,Year Round,,< 6,Yes,4,No,No,,,,,,,,,,,,,,,
Canton,Joshua Gittings,7459,7459,7459,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,1,64,,,,,,,,,,,,,,,,,,,6653.22,No,13.55,,,69.89,1882,,,,,0,0,0,0,0,0,0,0,13.55,0,< 6,Once a Week,Year Round,Year Round,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,< 6,< 6,< 6,< 6,< 6,Year Round,0,0,Year Round,Year Round,,< 6,Yes,1,Yes,No,,,,,,,,,,,,,,,
Carlisle,Timothy Goddard,1600,1600,1600,Drop-off,,,Drop-off,,,,,Drop-off,,0,Both,Both,Both,Neither,Yes,,Yes,,,,25,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,1803.48,Yes,,No,,69.54,,,183,201.15,189.92,,102.42,,,,,,,15.47,185,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,,Year Round,Yes,1,No,No,,,,,,,,,,,,,,,
Carver,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,471,440,440,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,,,,,,,,,,,Yes,,Yes,155.93,No,0,,,79,,,,38.8,33.11,1.34,12.89,0.92,,,,,,1.84,,Once a Month,< 6,Year Round,Year Round,Once a Week,Year Round,< 6,< 6,Once a Week,Once a Week,0,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,< 6,No,,,,,,,,,,,,,,,,,,
Charlton,Kara Hmielowski,4380,0,0,None,,,None,,,,,None,,,Both,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,No,0,,,,0,0,0,0,0,,,,,,,,,,,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,0,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,0,0,< 6,No,,,,,,,,,,,,,,,,,,
Chatham,Josh Pelletier,3160,3160,3160,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,,Yes,,90,,5,,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,,Yes,Yes,5139.54,Yes,,Yes,,90,287.97,68.95,261,188.02,280.64,,149.78,54.65,,20.44,,7.32,757.19,27.35,875,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,,,,,,,,,,,,,
Chelmsford,Melissa Joyce,13693,12259,12259,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,2,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,10489.03,Yes,,No,,73.04,3104.69,,,,,,,54.27,,,,,,,,< 6,< 6,< 6,< 6,< 6,Year Round,< 6,< 6,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,Year Round,< 6,0,0,Year Round,Yes,2,No,No,,,,,,,,,,,,,,,
Chelsea,- - DID NOT REPORT - -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Linda Cernik,1358,835,835,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,150,,Yes,,,,,,,No,Yes,,Yes,,,,,,,,,,,Yes,446.26,No,144.93,Yes,,110,,,,60.21,39.31,,41.58,3.71,,,,,5.4,6.31,124,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Chester,Nicholas Chiusano,620,218,218,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,Yes,,,,65,,,Yes,,,,,,,Yes,Yes,,,Yes,Yes,Yes,7,,,,,,,,157.06,No,48.81,Yes,,88,,,24,24.15,17,,6,,,,,,,12,,0,Year Round,Year Round,Year Round,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,,
Chesterfield,Kathleen A. Casey,551,211,211,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Both,Neither,,Yes,,,Yes,25,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,,,,,,,Yes,127.34,No,19.38,Yes,,88,,,,27.13,22.23,,7.77,2.56,,,,,,1.5,,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Chicopee,Barry Brouillard,24323,18869,18869,Curbside,Yes,35,Both,Bi-weekly,Yes,Yes,95,None,26,52,Both,Neither,Both,Neither,Yes,,,,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,19,Yes,Yes,Yes,Yes,,,,10523,No,0,,,75,4401.91,,,,,3.43,164.19,143.56,,38.17,,,4773.65,67.9,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,0,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,,0,Yes,2,No,Yes,,,,,,,,,,,,,,,
Chilmark,Donald Hatch,1317,450,450,Drop-off,,,Drop-off,,Yes,,,Drop-off,,,Both,Both,Both,Both,,,,,Yes,,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,,,,,,,Yes,123,No,0,,,95,55,,,,,,3.61,,,,,2.52,,,,Year Round,Year Round,Year Round,Year Round,< 6,Year Round,0,0,< 6,< 6,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Yes,3,Yes,No,,,,,,,,,,,,,,,
Clarksburg,Linda Cernik,720,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,No,1.53,Yes,,,,,,,,,2.87,,,,,,,1.8,2,Year Round,Year Round,Between 6 & 11,Between 6 & 11,< 6,Year Round,Year Round,Year Round,< 6,< 6,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,< 6,Year Round,< 6,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Clinton,Michael J. Ward,4853,4346,4346,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,0,52,Both,Both,Recycling,Recycling,Yes,Yes,,,,168,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,,2123.97,No,58.68,Yes,,75.32,947.85,,,37.46,11.49,6.23,,,,13.78,,,27,15.93,,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,Year Round,Year Round,0,0,No,,,,,,,,,,,,,,,,,,
Cohasset,Andria Benn,3433,2460,2460,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,Yes,Yes,,,Yes,50,,,Yes,,,,,,,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,Yes,1488,No,0,Yes,,81.37,,,109,258,175,,143.1,38,,5.9,,,200,13.5,247,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,< 6,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Colrain,Jan Ameen,673,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,Yes,,,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,,,Yes,229.15,No,31.92,Yes,,79,,,,47.89,53,,28.99,2.61,,,,,,2.89,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,< 6,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Concord,Melissa Simoncini,5500,3704,3800,Curbside,,,Curbside,Weekly,,,,None,,39,Both,Both,Neither,Neither,,Yes,,,Yes,272,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,2608.53,No,80.04,Yes,,79,,,1307,965.82,611.3,2.05,,,,2.12,2,,1321.2,1.12,,0,0,< 6,< 6,Between 6 & 11,Year Round,< 6,< 6,Between 6 & 11,Between 6 & 11,Once a Week,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,< 6,< 6,< 6,0,Year Round,No,,,,,,,,,,,,,,,,,,
Conway,Jan Ameen,668,648,648,Drop-off,,,Drop-off,,,,,Drop-off,,,Both,Neither,Neither,Neither,Yes,,Yes,,,,10,,,,,,,,,No,Yes,Yes,,,,,,,,,,Yes,,Yes,440.13,No,79.24,Yes,,79,,,,105.13,80.33,,53.13,1.83,,,,4.5,,2.99,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,< 6,Year Round,,Year Round,No,,,,,,,,,,,,,,,,,,
Cummington,Kathleen A. Casey,425,273,273,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Both,Neither,,Yes,,,Yes,40,,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,,No,,Yes,Yes,Yes,Yes,Yes,,Yes,118.15,No,56.87,Yes,,88,58.91,,,,,,9.02,2.05,,,,,,1.3,,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Between 6 & 11,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Dalton,Edward Fahey,2290,740,740,Drop-off,,,Drop-off,,,,,None,,26,Neither,Neither,Neither,Neither,,,Yes,,,,82.09,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,,,,791,No,22.6,No,,,,,,142.93,97.25,,13,,,,,,,,23,0,0,< 6,< 6,< 6,< 6,0,0,< 6,< 6,0,< 6,< 6,< 6,< 6,< 6,< 6,0,0,< 6,< 6,< 6,,< 6,No,,,,,,,,,,,,,,,,,,
Danvers,Gail Garron Bernard,15628,7747,7747,Both,,,Both,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,Yes,3,45,,Yes,,Yes,Yes,,,,Yes,,,,,,,,,Yes,6289.96,Yes,,Yes,,77.25,,,,1232.11,1035.44,21.46,22.82,122.01,,,,,,15.55,,0,Year Round,Year Round,< 6,< 6,Year Round,Year Round,Year Round,< 6,0,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,< 6,Year Round,< 6,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Dartmouth,"David T. Hickox, P.E.",11420,10084,10084,Both,,,Both,Weekly,,Yes,64,None,12,52,Recycling,Recycling,Recycling,Neither,,Yes,Yes,Yes,Yes,90,50,10,Yes,,,,,,,No,Yes,,,,,,,Yes,Yes,Yes,Yes,,,Yes,5245.31,No,21.3,Yes,,,0,0,148,1291.54,1187.02,11.13,176.97,118.62,,15.01,,,5066.14,39.02,509,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Dedham,Virginia LeClair,7884,7856,7856,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,34,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,Yes,6241.26,No,0,No,,68.97,2606.85,,,,,,2.91,37.31,,,,,2407.91,3.1,,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,< 6,Year Round,Year Round,Year Round,< 6,< 6,Year Round,Year Round,< 6,Year Round,,< 6,Yes,1,No,No,,,,,,,,,,,,,,,
Deerfield,Jan Ameen,1749,1317,1317,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,65,,Yes,,,,,,,No,Yes,Yes,,,,,,,,,,,,Yes,520.07,No,101.37,Yes,,,,,,163.73,117.99,,45.85,3.55,,,,37,50,,,Year Round,< 6,< 6,< 6,Once a Month,Year Round,< 6,< 6,Once a Month,Once a Month,0,Once a Month,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,< 6,Year Round,0,< 6,No,,,,,,,,,,,,,,,,,,
Dennis,Chad Contonio,14217,7031,7031,Drop-off,,,Drop-off,,,,,Drop-off,,52,Recycling,Neither,Recycling,Both,,Yes,,Yes,,182,,10,,,,,,,,,,,,,,,,,,,,,,Yes,3769,No,0,Yes,,98,,,312,442,167,12,357,56,286,69,,10,1862,35,1203,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Yes,3,Yes,Yes,,,,,,,,,,,,,,,
Devens,David Blazon,145,0,145,None,,,Drop-off,,,,,None,45,,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,No,,Yes,Yes,,,,,,,,,,,Yes,79.66,Yes,,,,65,,,,44,43.2,,18.25,4.25,2.99,,,,27.04,1.55,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,0,0,Yes,20,Yes,No,,,,,,,,,,,,,,,
Dighton,Todd Pilling,2862,2762,2762,Curbside,,,Curbside,Weekly,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,,Yes,,Yes,,15,,Yes,,,,,,,,,,,,,,,,,,,,,,1622,No,247.27,Yes,,74.51,658.6,0,5,0,0,,42.94,16.4,,,,,5.4,3.69,,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
Douglas,Kristin Harris,3175,1288,1288,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,,Yes,,,,200,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,1021,No,176,Yes,,,,,91,25,72,12,59,1.11,,,,,,12.79,,0,< 6,Year Round,Year Round,0,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,Year Round,,0,No,,,,,,,,,,,,,,,,,,
Dover,Christopher Poulsen,2144,1502,1502,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,987,No,229,No,,70.01,,,149,140,160,0,114,13,,9,,55,,15,,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,No,,,,,,,,,,,,,,,,,,
Dracut,Matt Zettek,12194,10600,10660,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,9846,Yes,,Yes,52,73.04,2832,,,,,,21,2,,,,,930,14,,< 6,< 6,Year Round,0,0,< 6,0,< 6,Between 6 & 11,0,0,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Yes,1,No,Yes,,,,,,,,,,,,,,,
Dudley,Michelle Jervis,4254,873,873,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Neither,Neither,Neither,,,Yes,,,,245,,,,,,,,,,,,,,,,,,,,,,,,653,Yes,,Yes,,,216,,,,,,,,,,,,,,,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
Dunstable,Joan Ferrari,1011,277,277,Curbside,Yes,35,Curbside,Weekly,Yes,Yes,64,None,,,Both,Neither,Neither,Neither,,Yes,,,,300,,,Yes,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,89,No,0,Yes,,,73,,,,,,,,,,,,,,,Between 6 & 11,0,0,0,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Year Round,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,Between 6 & 11,0,Year Round,0,Year Round,0,0,0,No,,,,,,,,,,,,,,,,,,
Duxbury,Liz Mahan,6000,5366,5366,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Both,Yes,Yes,,,Yes,55,,,Yes,,,,,,,Yes,Yes,,,Yes,,No,,Yes,Yes,Yes,Yes,,Yes,,2561,No,0,Yes,,65,,,341,783,573,,257.5,58.2,,,,,,26.8,14,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Between 6 & 11,Between 6 & 11,< 6,Between 6 & 11,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,0,Year Round,No,,,,,,,,,,,,,,,,,,
East Bridgewater,Rob Kenn,4436,2687,2687,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,,28,Both,Both,Neither,Neither,,Yes,Yes,,Yes,300,75,,,,,,,,,,,,,,,,,,,,,,,,2708,Yes,,No,,71.78,834,2.5,6,2.5,3,12.5,95.13,10.84,39.38,9.9,,,64.8,25,,< 6,< 6,Year Round,Year Round,< 6,Year Round,< 6,< 6,< 6,< 6,0,< 6,Year Round,0,< 6,< 6,< 6,Year Round,< 6,Year Round,Year Round,Year Round,0,< 6,Yes,1,No,No,,,,,,,,,,,,,,,
East Brookfield,Michael P. Seery,974,939,939,Both,,,Curbside,Bi-weekly,Yes,Yes,0,None,,52,Both,Both,Both,Neither,Yes,Yes,,,Yes,135,,,Yes,,,,,,,,,,,,,,,,,,,,,,512.79,Yes,,Yes,,78.83,55.28,68.95,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,< 6,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
East Longmeadow,Elizabeth Bone,5679,5644,5644,Curbside,Yes,35,Curbside,Weekly,,,,None,0,52,Both,Both,Neither,Neither,Yes,,Yes,,Yes,,50,,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,,,Yes,,,Yes,3455.86,No,368.46,Yes,,76,,,,866.42,598.89,4.28,206580,27.44,,8.11,,,3680.46,9.32,,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,< 6,0,0,Year Round,No,,,,,,,,,,,,,,,,,,
