Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2015,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Did your municipality host comprehensive household hazardous waste collection events in 2014?,How many events?,Regional,Reciprocal,Comments/Additional Information,
Brockton,J. Patrick Sullivan,31000,26100,26100,Curbside,,,Both,Weekly,,,,None,43,,Both,Neither,Neither,Neither,,Yes,,Yes,280,,Yes,,,,,,,,,,,,Yes,Yes,Yes,25038,Yes,,No,,878,,,2063,1431,,203,10,,,,,4878,208,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,1,No,No,"Curbside Trash and Recycling collected from 1-5 family units (not 6). Paint collected 6 days per week from April 1 thru October 31 at Recycle Center. Recycle center open to all residents and businesses. Trash program---1'st 32 gallon barrel or bag, 1 bulky item, 1 appliance, unlimited recycling & yard waste per week included in trash fee. Any additional trash must be placed in PAYT bags.",
Brookfield,Mike Seery,940,545,545,None,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,,,133,No,4,Yes,149,59,,,,10,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,0,No,,,,,
Brookline,ED GILBERT,26500,13250,13250,Curbside,,,Curbside,Weekly,Yes,Yes,65,None,38,,Both,Both,Both,Neither,,Yes,,,200,,,,,,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,9215,Yes,,No,68,5332,,,,,,48,15,,,,,,65,Once a Week,Once a Week,Year Round,Once a Week,Once a Week,,Once a Week,Once a Week,Once a Week,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Yes,36,No,Yes,,
Buckland,Jan Ameen,694,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,242,No,0,No,74,,,,72,46,,12,5,,,,,,,0,0,0,0,0,,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
Burlington,Teresa Keene,6854,6854,6854,Curbside,Yes,65,Curbside,Weekly,Yes,Yes,65,None,17,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,Yes,5655,Yes,,No,65,1979,,,,,,,,,,,,,,0,Year Round,Year Round,Year Round,0,0,0,0,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,0,0,Yes,2,No,No,,
Cambridge,Ms. Randi Mail,51234,35893,48507,Curbside,,,Both,Weekly,Yes,Yes,65,Curbside,38,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,Yes,,,Yes,Yes,15386,Yes,,Yes,77,9315,0,58,33,11,,73,,0,0,,1071,1873,104,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Yes,4,No,No,"Tons of bulky rigid plastic is included in curbside single stream and commingle drop-off. Textiles collected from several organizations with drop-off boxes located throughout the city, and thrift stores - all of which report tons to us upon request.",
Canton,Philip Levreault,7221,7221,7221,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,35,Trash,Trash,Recycling,Neither,Yes,,,,,,,Yes,1,64,,Yes,,,,,,,,,,7366,Yes,,No,64,1323,92,,,56,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,0,0,,Yes,1,No,No,,
Carlisle,Tim Goddard,1800,1800,1800,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Neither,Yes,Yes,,,25,,,,,,,,,,,,,,Yes,Yes,,1855,Yes,,No,72,,59,160,184,182,,91,,243,,,,,25,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,1,Yes,Yes,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,479,460,460,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,Yes,,Yes,161,No,0,No,74,,,,45,34,,,10,,,,,,2,0,0,Year Round,Year Round,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Charlemont and Shelburne share a transfer station site but have separate trash and recycling systems. They share 2 Salvation Army boxes. All tonnage is being reported on Charlemont's survey because they own the site but some of the textile/book tonnage is from Shelburne residents.,
Charlton,Kara Hmielowski,4230,0,0,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,0,No,0,No,,,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Yes,4,Yes,No,,
Chatham,Mark Mehall,3160,3160,3160,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,,,120,,,,,,,,,,,,,,Yes,Yes,,5236,Yes,,Yes,60,40,,282,338,189,10,16,47,584,,,5,1760,32,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,Year Round,,No,,,,,
Chelmsford,Nick Parlee,13187,13187,13187,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,2,32,,Yes,,,,,,,,,,11152,Yes,,No,69,,,,,,,,,,,,,,,1 or 2,Once a Month,Once a Month,Once a Month,Between 3 & 10,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,,Yes,1,No,No,,
CHELSEA,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheshire,Sandy Totter,1367,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,Yes,Yes,,Yes,150,,Yes,,,,,,,,,,,,,,Yes,488,No,158,Yes,,,,,63,39,,20,,,,,,,6,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Kathleen Casey,543,400,400,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,,25,,Yes,,,,,,,Yes,,Yes,No,,,,Yes,153,No,25,Yes,71,,,,38,26,,5,3,,,,,,3,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,No,,,,,
Chicopee,barry brouillard,24000,18850,18850,Both,,,Both,Bi-weekly,Yes,Yes,95,None,26,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,No,Yes,,,,13700,No,0,No,37,3851,12,24,,3,,98,,,54,,,4583,42,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,0,0,Yes,1,No,Yes,,
Chilmark,Don Hatch,1283,420,420,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,Yes,,,,,,Yes,,,,,,,,,,,,,,,135,No,0,Yes,160,95,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,4,Yes,No,All material is delivered to the MV Refuse District in Edgartown for processing and packing prior to shipping off Island.,
Clarksburg,Sandy Totter,659,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,0,No,3,Yes,,,,,,,,3,,,,,,,3,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,No,,,,Clarksburg holds an annual bulky waste/electronics collection.,
Clinton,Michael J. Ward,4711,3189,4711,Curbside,,,Drop-off,,,,,None,4,5,Trash,Trash,Recycling,Recycling,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,1911,No,0,No,70,0,102,91,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,No,,,,"Town operated a collection program for leaves from residential properties on five (5) Saturdays in the Fall, but no tonnage information is available for the material collected.",
Cohasset,Mary Snow,2879,2472,2472,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,Yes,Yes,,Yes,60,,Yes,,,,,,,Yes,,Yes,Yes,Yes,Yes,,,1646,No,0,Yes,87,,,242,290,256,,286,36,,,,,150,16,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,No,,,,,
Colrain,Jan Ameen,671,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,Yes,200,No,41,Yes,67,,,,62,47,,10,3,,,,,,3,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,,
Concord,Rod Robison,5500,3393,3519,Curbside,,,Curbside,Weekly,,,,None,,36,Both,Both,Neither,Neither,,Yes,,Yes,230,,Yes,,,,,,,,,,,,,,Yes,2558,No,21,Yes,78,,22,450,1198,585,3,22,3,,2,5,,359,22,0,0,1 or 2,1 or 2,Between 3 & 10,,1 or 2,Between 3 & 10,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,1 or 2,,Yes,1,Yes,Yes,,
Conway,Jan Ameen,666,615,615,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,Yes,490,No,85,No,74,,,,113,74,,39,,,,,,,6,Year Round,Year Round,Year Round,Year Round,Once a Month,,Year Round,Once a Month,Once a Month,Once a Month,Once a Month,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Conway has a robust clothing reuse shed but does not have tonnage data because clothing is redistributed to residents using the transfer station.,
Cummington,Kathleen Casey,423,250,250,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,,40,,Yes,,,,,,,Yes,,Yes,No,,,,Yes,126,No,29,Yes,66,40,,,9,7,,7,2,,,,,,1,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,No,,,,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,Gail Bernard,11121,7786,7786,Both,,,Curbside,Weekly,,,,None,12,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,45,,Yes,,Yes,Yes,,,,,,Yes,6432,Yes,,Yes,73,,,,1373,1336,13,14,6,,,,,,8,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,,Yes,1,No,No,"The numbers for eWaste only include numbers from 1 event. I'm still waiting on numbers from the vendor, so those totals are likely to double.",
Dartmouth,"David T. Hickox, P.E.",12710,9790,9790,Both,,,Both,Weekly,,Yes,64,None,8,52,Recycling,Both,Recycling,Neither,,Yes,,Yes,80,,Yes,,,,,,,,,,,Yes,,,,4749,No,7,Yes,19,,,88,1578,1140,3,101,3,278,14,,,1401,27,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,2,Yes,No,"The Town of Dartmouth does contract with a private contractor to pick up solid waste in some municipal buildings. Recycling pick up id done by the town. Street Sweepings (1,135.71 tons) this is not counted as solid waste because the district reuses this material for cover.",
Dedham,Virginia LeClair,8900,8900,8900,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,35,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,,Yes,,Yes,Yes,,,,,,Yes,5872,No,3396,No,64,3,,,,,,,,,,,,1859,,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Yes,1,No,No,"In addition to Household Hazardous Waste Collection, the Sustainability Advisory Committee in partnership with the DPW and Environmental Department hosted 2 recycling events. The October event coincides with the Board of Health's Household Hazardous Waste event and invited Shred-It to recycle paper and Refoamit to recycle Styrofoam, as well as Scrap-it for metal, TV and electronic recycling and textile recycling. For the past 3 years the Town has held a styrofoam collection event the first Saturday after Christmas. This past year we include electronics as well. The Committee has decided in 2015 and going forward to host 2 events/year - one in the spring and one in the fall and to discontinue the December event. In the future we would like to hold a recycling event in the Spring and Fall. The one in the Spring would be around Earth Day and the Fall event would coincide with Household Hazardous Waste Day. We will also continue to hold the December holiday styrofoam collection event.",
Deerfield,Jan Ameen,1715,1178,1178,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,Yes,65,,Yes,,,,,,,,,,,,,,Yes,650,No,152,Yes,74,,,,219,118,,37,,,,,,,1,Year Round,1 or 2,1 or 2,1 or 2,0,,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,No,,,,Deerfield has a Red Cross drop-box for clothing and books. A tonnage number was not available. The town also accepts yard waste and brush but does not have an estimate of tonnage to report.,
Dennis,Chad Contonio,13908,6922,13908,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Recycling,Both,,Yes,Yes,,138,4,,,,,,,,,,,,,Yes,,,3746,No,0,Yes,68,0,0,350,539,465,0,255,89,400,48,0,0,2804,56,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,2,No,No,,
Devens,David Blazon,126,0,126,None,,,Drop-off,,,,,None,43,52,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,79,Yes,,Yes,82,,,50,1,24,,,3,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,20,Yes,No,"4. One pre-school participates in program; the high school does not.8. Cardboard includes mixed paper and news8. Not all textile vendors pay revenue8. Bulky rigid plastics are included in container collection8. Scrap metal, electronics and yard waste total not available",
Dighton,Thomas Ferry;,2595,2595,2595,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Neither,Both,Neither,,,Yes,Yes,,10,,,,,,,,,,,,,,,,1376,Yes,,Yes,,,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,,Year Round,1 or 2,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Yes,1,Yes,No,,
Douglas,Kristin Harris,3106,1288,1288,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,,220,,,,,,,,,,,,,Yes,,,Yes,1287,No,219,Yes,,,,94,27,45,,37,2,,,,,,,Year Round,Between 3 & 10,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,,No,,,,,
Dover,Christopher Poulsen,2004,2004,2004,Drop-off,,,Drop-off,,,,,Curbside,,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,2123,Yes,,No,64,95,0,119,185,139,,52,8,,,,,,29,Year Round,0,Year Round,Year Round,Year Round,,0,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,1,Yes,No,,
Dracut,Matt Zettek,11550,10316,10376,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,29,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,9433,Yes,,No,68,2378,,,,,,22,,,,,,427,11,1 or 2,1 or 2,Once a Month,0,0,0,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,Yes,The number of households served in the municipal trash and recycling programs includes condominiums (of varying sizes) that choose to participate in the municipal program.,
Dudley,Rosalie,4000,650,650,Drop-off,,,Drop-off,,Yes,,,None,,52,Neither,Neither,Neither,Neither,,Yes,Yes,,250,0,,,,,,,,Yes,,Yes,Yes,,Yes,,Yes,538,No,0,Yes,66,116,,,,,,65,,,,,,600,5,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,1 or 2,0,0,0,0,0,0,0,0,,Yes,1,Yes,No,,
DUNSTABLE,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duxbury,Peter Buttkus,5452,5000,5000,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Both,Neither,Yes,Yes,,Yes,25,,Yes,,,,,,,Yes,,Yes,Yes,Yes,,Yes,Yes,2627,No,1297,Yes,,1438,,,,,,478,89,,,,,4450,58,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Yes,1,Yes,Yes,,
East Bridgewater,Robert Kenn,4200,3750,3550,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,22,Both,Both,Neither,Neither,,,,Yes,,,Yes,,,,,,,,,,,Yes,,,Yes,2291,Yes,,Yes,92,1291,,36,,,3,12,21,,,,,96,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,1 or 2,Year Round,,Yes,1,No,No,,
East Brookfield,DONNA WENTZELL,968,918,968,Curbside,,,Both,Bi-weekly,,,,None,,51,Both,Neither,Neither,Neither,,Yes,,,130,,Yes,,,,,,,,,,,,,,,512,Yes,,Yes,74,,,,90,65,,8,,,,,,15,9,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,No,,,,we take used books about 3 Tons per yer for Discovery Books,
East Longmeadow,Laurie Magnani,5400,5400,5400,Curbside,,,Curbside,Weekly,,,,None,52,52,Both,Both,Neither,Neither,Yes,Yes,,Yes,50,,Yes,,,,,,,,,,,,,,Yes,3680,No,0,Yes,61,,,,1006,564,,54,,252,,,,,,0,Year Round,Year Round,0,Year Round,,0,0,0,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,0,0,No,,,,,
Eastham,Neil Andres,5140,3742,3742,Drop-off,,,Drop-off,,,,,None,,52,Both,Both,Both,Both,Yes,Yes,Yes,,120,10,,,,,,,,,,,,Yes,Yes,Yes,Yes,3021,No,499,Yes,60,,120,143,196,228,23,191,29,443,55,,5,760,38,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Yes,2,No,Yes,Number of households served was determined by the number of first transfer station stickers sold. Eastham has many seasonal residnets which will stay part of the summer and pay a $10 entry fee as needed.,
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgartown,Don Hatch,4321,1200,1200,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Both,Both,,,,Yes,,,Yes,,,,,,,,,,,,,,,3966,Yes,,Yes,160,550,,,,,,265,18,200,25,,,175,32,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,,0,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Yes,4,Yes,No,,
Egremont,Mary Brazie,821,821,821,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,Yes,,Yes,No,Yes,,Yes,Yes,430,No,40,Yes,84,,,,111,70,,16,1,,,,2,,3,0,0,Year Round,Year Round,0,0,0,0,0,Between 3 & 10,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,No,,,,,
Erving,Jan Ameen,594,594,594,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,388,No,80,No,72,,,,104,48,,10,,,,,,,2,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,0,0,0,0,Year Round,0,0,0,0,0,0,0,No,,,,Erving collects yard waste and brush at the highway garage but does not have a tonnage calculation.,
ESSEX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Jon Norton,16231,13644,13644,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,96,None,22,,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,,,,,,,,,13356,Yes,,Yes,80,4003,,,,,,,,,,,,,,1 or 2,1 or 2,Once a Week,Once a Week,Year Round,0,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,Yes,No,All residential units have access to municipal collection. Not all use and some supplement once a week municipal collection.Small businesses are also eligible for curbside collection. white goods and ewaste tonnage is not tracked,
Fairhaven,Patricia Fowle,6800,6330,6330,Curbside,,,Both,Bi-weekly,Yes,,,None,5,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,10,32,Yes,,No,,,,,,,,,5780,Yes,,No,53,956,,,,,,15,,,,,,1710,11,Year Round,1 or 2,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Yes,1,No,No,"For MSW the town does pick-up a few small ""Mom & Pop"" businesses because they have always been picked-up. New businesses are not allowed to be collected, private haulers are hired. Recycled goods are picked-up if anyone places them curbside. Some condo's do not offer recycling and those residents use the town curbside service by leaving the goods on the curb because the hauler will not enter ""private property"". There was no space to detail how curbside recycling is paid: contract for pick-up and hauling to recycling facilities is paid from tax base. In March 2015 we will move to the two-cart system and we are very hopeful the recycling rate will greatly increase and the MSW will decrease. We currently use the antiquated 18 gallon recycle bins.",
Fall River,Betsey Westell,42000,33000,33000,Both,Yes,95,Both,Weekly,Yes,Yes,95,None,40,52,Both,Both,Both,Neither,Yes,,,Yes,,,Yes,Yes,3,95,Yes,,Yes,,,,,Yes,,,,23190,Yes,,Yes,64,7830,,132,,,19,83,4,,21,,,1560,177,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,No,,,,,
Falmouth,John T. Lyons,20182,20182,20182,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,Yes,,,11589,No,0,Yes,59,2510,,66,60,43,0,42,,,6,,,3200,8,Year Round,Year Round,Year Round,0,Year Round,0,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Yes,4,Yes,Yes,"In Section 5, it asks if we collect bulky waste through our municipal contract. We do not, however; we collect it at our Waste Management Facility, but it is not weighed or otherwise tracked at this point. We will be implementing a bulky waste collection program at this Facility in the very near future.",
Fitchburg,Jean-Francois Leblanc,17000,13500,13500,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10004,No,0,Yes,,3213,,,,,,70,,,8525,,,774,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Year Round,Year Round,Year Round,0,Yes,4,No,No,,
