Municipality Name,Contact Name,Total Number of Households,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Carts for Trash,Trash Cart size,Recycling Service Type,Recycling Collection Frequency,SS Recycling,Carts for Recycling,Recycling Cart Size,Food Waste Service Type, # of weeks collected curbside,Weeks the drop-off center open to residents,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Non-resident Trash and Recycling Service,Solid Waste program funded by property tax?,Solid Waste program funded by annual fee?,Solid Waste program funded by per-visit fee?,Solid Waste program funded by PAYT revenue?,What is the annual fee?,What is the per-visit fee?,PAYT,Enforced Trash Limits at Curb,Maximum # bags/ barrels per week,Barrel size in gallons (eg 32 64 etc),Trash Enforced by Muni,Trash Enforced by Hauler,Dedicated Trash Enforcement Personnel,Enforced Mandatory Recycling,Recycling Enforced by Muni,Recycling Enforced by Hauler,Dedicated Mandatory Recycling Enforcement Personnel,# Hours Enforcement Personnel on Street,Private Hauler regulations that require recycling,Swap-Shop,Reuse area at transfer station / recycling center?,Compost Bin Distribution Program,Trash Disposal Tonnage,Does trash disposal tonnage include bulky waste?,Bulky waste tonnage,Fee for bulky waste?,Tip Fee as of 1/1/2016,Tons Single Stream Recyclables,Newspaper,Cardboard,Mixed Paper,Commingled,Bulky Rigid Plastic,Scrap Metal / White Goods,Textiles/Used Clothing,Wood,Mattresses,Carpet,Food Waste,Yard Waste,E-Waste,Auto batteries,Auto tires,TVs and Computers,Other electronics (DVD/VCR phones stereos etc),Waste/Used engine oil,Household batteries,Propane tanks,Anti-freeze,Used oil filters,Latex/Oil based paint,Fluorescent lamps/CFLs,Button batteries,Thermostats,Thermometers,Other products containing mercury,Expanded Polystyrene,Medical Waste (Sharps),Textiles/Used Clothing,Bulky Rigid Plastic,Books/Media,Did your municipality host comprehensive household hazardous waste collection events in 2015?,How many events?,Regional,Reciprocal,Comments/Additional Information,,
Brookfield,Mike Seery,1204,545,545,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,,Yes,,,85,,Yes,,,,,,,,,,,,Yes,Yes,,,392.48,No,78.35,Yes,149,5.35,,,,12,,476,,,,,,,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,0,Year Round,Year Round,0,Year Round,No,,,,,,
Brookline,Ed Gilbert,25900,13604,13604,Curbside,,,Curbside,Weekly,Yes,Yes,356595,None,40,,Both,Both,Both,Neither,,Yes,,,200,,,,,,,,,Yes,Yes,Yes,Yes,40,Yes,,,Yes,9634,Yes,,No,,5159,,,,,,50.76,,,,,,1227,0.03,Once a Week,Once a Week,Year Round,Year Round,Once a Week,Year Round,Once a Week,Once a Week,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,36,Yes,No,,,
Buckland,Jan Ameen,693,620,620,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,230.6,No,0,No,68,,,,68.31,55.68,,17.86,2.1,,,,,,,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Burlington,Teresa Keene,6861,6861,6861,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,64,None,17,,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,Yes,No,,,,,Yes,5500.78,No,37.1,No,64,2297.03,,,,,,,,,,,,1529,,1 or 2,Year Round,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,0,Yes,2,No,No,,,
Cambridge,Randi Mail,51218,35864,48428,Curbside,,,Both,Weekly,Yes,Yes,65,Both,40,3,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,Yes,60,Yes,,Yes,Yes,15162,Yes,,Yes,78.13,9232,,74.06,13.2,10,,62.32,364.9,,,,2111.4,2039.05,94.01,Year Round,Between 3 & 10,Once a Week,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,,Year Round,Yes,4,No,No,"33% of residential buildings with 9 units and above receive trash collection with a private hauler. 4% of residential buildings with 9 units and above receive recycling collection with a private hauler.Food scrap tonnage includes from the city's curbside residential pilot, 4 drop-off sites, schools/city buildings, Soilcycle/Bootstrap customers in Cambridge, & lbs diverted through home composting.",,
Canton,Philip Levreault,7298,7298,7298,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,,35,Trash,Trash,Recycling,Neither,Yes,,,,,,,Yes,1,64,,Yes,,,,,,,,,,,5427,Yes,,No,64.89,1704,,,,,,,,,,,,,,1 or 2,1 or 2,Year Round,Year Round,1 or 2,1 or 2,0,1 or 2,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,0,0,,Year Round,Yes,1,No,No,,,
Carlisle,Tim Goddard,1800,1622,1622,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Neither,Yes,Yes,,,25,,,,,,,,,,,,,,,Yes,Yes,,1824,Yes,,No,63,,51.45,181.62,196.38,191.03,,107.38,,249.62,,,,,19,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,Yes,1,No,No,,,
CARVER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlemont,Jan Ameen,473,450,450,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,Yes,164.11,No,0,No,70,,,,41.74,38.34,,,1.35,,,,,,2.53,0,0,Year Round,Year Round,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Charlton,Kara Hmielowski,4230,0,0,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,49.2,No,0,Yes,,49.2,,,,,,,,,,,,,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Once a Week,Between 3 & 10,Once a Week,,Once a Week,Yes,1,No,No,"The Town of Charlton utilizes a drop-off center partnered with Southbridge Recycling and Disposal Park in Southbridge MA which is open to Charlton residents. The number of households that use the drop off are not tracked. The Town does not offer resident trash/recycling program and residents contract with their own hauler of their choice, but they still can use the drop-off center. There is no cost to the Town to use the drop-off center. There is no fee charged for the drop-off of (2) bags of waste, unlimited acceptable recyclables, and one bulk item per week. Residents may be charged a reasonable drop-off fee for additional bulk items.",,
Chatham,Mark Mehall,3160,3160,3160,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,Yes,,120,2,,,,,,,,,,,,,Yes,Yes,Yes,,5554,No,10.04,Yes,,184.12,,325.32,310.65,165.45,11.69,,11.12,746.02,41.45,41.45,11.14,95.04,40.12,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,No,,,,,,
Chelmsford,Nicholas Parlee,13207,13207,13207,Curbside,,,Curbside,Bi-weekly,Yes,,,None,,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,2,32,,Yes,,,,,,,,,,,11209,Yes,,No,70,3566.72,,,,,0,27.18,,,,,,,,Between 3 & 10,Once a Week,Once a Week,Once a Week,Between 3 & 10,Year Round,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Yes,1,No,No,,,
Chelsea,Mike Sandoval,9980,9980,9980,Curbside,,,Curbside,Weekly,Yes,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,10374.15,Yes,,No,64,1008.19,,,,,,397,,,,,,294.62,,1 or 2,0,Once a Month,0,Year Round,Year Round,1 or 2,1 or 2,1 or 2,0,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Year Round,0,Year Round,Yes,1,No,No,,,
Cheshire,Sandy Totter,1367,1200,1200,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Both,Neither,,Yes,,Yes,150,,Yes,,,,,,,,,,,,,,,Yes,479.03,No,142.55,Yes,,,,,56.01,37.27,,32.53,,,,,,,8.64,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
CHESTER,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesterfield,Kathleen A. Casey,544,263,263,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,25,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,142,No,21.28,Yes,71,,,,39.5,22.7,,7.9,2.4,,,,,,1,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,0,No,,,,,,
Chicopee,Barry Brouillard,24100,18850,18850,Both,,,Both,Bi-weekly,Yes,Yes,95,None,26,52,Both,Neither,Neither,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,No,,Yes,,,Yes,13574.21,No,0,No,36.83,3840.9,,,,,,103.56,2.1,,3.78,,,3927.1,107.65,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,1 or 2,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Yes,1,No,Yes,,,
Chilmark,Don Hatch,1284,420,420,Drop-off,,,Drop-off,,Yes,,,Drop-off,,52,Both,Both,Both,Both,,,,Yes,,,Yes,,,,,,,,,,,,,,,,123,No,0,Yes,160,106,,,,,,6,,,,,,,,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Between 3 & 10,0,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,Yes,4,Yes,No,,,
Clarksburg,Sandy Totter,659,0,0,None,,,None,,,,,None,,,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,0,No,1.19,Yes,,,,,,,,2.56,,,,,,,2.93,0,1 or 2,1 or 2,1 or 2,0,0,1 or 2,0,0,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,0,0,No,,,,,,
Clinton,Michael J. Ward,4165,3024,3024,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,4,4,Both,Both,Recycling,Recycling,,,,Yes,,,Yes,,,,,,,,,,,,Yes,,,,1847.74,No,0,No,71,401.65,51.9,59.73,0,95.07,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,Year Round,No,,,,Municipal single stream curbside recycle collection program began on 7/15/15.,,
Cohasset,Mary Snow,2990,2755,2755,Drop-off,,,Drop-off,,,,,None,,52,Both,Recycling,Both,Neither,Yes,Yes,,Yes,65,,Yes,,,,,,,Yes,Yes,,Yes,19,,Yes,,,1664,No,0,Yes,87.29,,,219,266,224.9,,275,29,,,,,150,19.46,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,No,,,,,,
Colrain,Jan Ameen,673,645,645,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,Yes,200.65,No,42.45,Yes,68,,,,62.32,44.03,,20.58,1.1,,,,,,3.1,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Concord,Rod Robison,5500,3466,3580,Curbside,,,Curbside,Weekly,,,,None,,37,Both,Both,Neither,Neither,,Yes,,Yes,230,,Yes,,,,,,,,,,,,,,,Yes,2591,No,31.78,Yes,79,,22.04,450,1207,562,3.95,21.36,3,,1.5,3.32,,396,22.74,0,0,1 or 2,1 or 2,Between 3 & 10,Year Round,1 or 2,Between 3 & 10,,Once a Week,Year Round,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,1 or 2,,1 or 2,No,,,,,,
Conway,Jan Ameen,671,615,615,Drop-off,,,Drop-off,,,,,None,,,Both,Recycling,Neither,Neither,Yes,Yes,,,1,,,,,,,,,,,,,,,Yes,,Yes,459.2,No,97.5,Yes,68,,,,123.29,78.32,,45.65,,,,,,,7.28,Year Round,Year Round,Year Round,Year Round,Once a Month,Year Round,Year Round,Once a Month,,Once a Month,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Cummington,Kathleen A. Casey,419,289,289,Drop-off,,,Drop-off,,Yes,,,None,,,Both,Both,Both,Neither,,Yes,,Yes,40,,Yes,,,,,,,Yes,Yes,,No,,,,,Yes,119,No,42,Yes,72,55,,,,,,9,2.2,,,,,,1.7,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,Year Round,No,,,,,,
DALTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danvers,Gail Bernard,11143,7761,7761,Both,,,Curbside,Weekly,,,,None,12,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,3,45,,Yes,,Yes,,Yes,,,,,,Yes,6300,Yes,,Yes,74.02,,,,1425.09,1244.69,20.9,23.04,6.89,,,,,,16.34,Year Round,Year Round,Year Round,Between 3 & 10,1 or 2,0,Year Round,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Between 3 & 10,,Between 3 & 10,Yes,1,No,No,,,
Dartmouth,"Davit T. Hickox, P.E.",12761,9761,9761,Both,,,Both,Weekly,,Yes,64,None,14,52,Recycling,Recycling,Recycling,Neither,,Yes,,Yes,80,,Yes,,,,,,,Yes,Yes,Yes,No,,Yes,,,,5094.93,No,9.58,Yes,25.65,,9.44,78.45,1468.04,1224.82,0.87,99.8,45.58,303.67,17.8,,,1607,20.09,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,0,Yes,2,Yes,No,"The Town of Dartmouth does contract with a private contractor to pick up solid waste in some municipal buildings. Recycling picked up is done by the town. Street sweepings (1,614.62 tons) this is not counted as solid waste because the district reuses this material for cover.",,
Dedham,Virginia LeClair,7922,7922,7922,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,96,None,34,,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,,Yes,,Yes,,Yes,,,,,,Yes,5472.8,No,75.88,No,64,2727.86,,,,,,,,,,,,,,1 or 2,Year Round,Year Round,1 or 2,1 or 2,1 or 2,Year Round,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 or 2,Year Round,Year Round,,Year Round,Yes,1,No,No,"Twice a year the Sustainability Advisory Committee hosts a Styrofoam, metal, electronics, textiles collection day. The events are held in the spring and the fall. The fall event coincides with HHW Day run by the Board of Health at the DPW. In 2015 we held a third Styrofoam collection event after Christmas, but found that either it was too close to the holiday, being the Saturday after Christmas or that most packaging is now not in the form of Styrofoam, but rather plastic. The Spring and Fall events are better attended, so we will not be holding the December event in the future.",,
Deerfield,Jan Ameen,1700,1400,1400,Drop-off,,,Drop-off,,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,Yes,65,,Yes,,,,,,,,,,,,,,,Yes,578.63,No,134.58,Yes,68,,,,196.87,119.82,,38.18,,,,,,9.72,,Year Round,0,0,0,0,Year Round,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,0,Year Round,0,Year Round,No,,,,,,
Dennis,Chad Contonio,14122,6900,6900,Drop-off,,,Drop-off,,,,,None,,52,Recycling,Neither,Recycling,Both,,Yes,Yes,,138,5,,,,,,,,,,,,,,Yes,Yes,,3748,No,0,Yes,68,0,0,372,511,459,0,275,83,715,48,0,0,2342,52,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,Yes,2,No,No,,,
Devens,David Blazon,126,0,126,None,,,Drop-off,,,,,None,43,43,Both,Both,Recycling,Recycling,Yes,,,,,,,,,,,,,,,,,,,,,,89.95,No,6.87,Yes,65,,,48.51,3.9,16.91,,8.52,4,,,,,,3.48,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,Yes,20,Yes,No,4. One pre-school participates in program; the high school does not.8. Cardboard includes mixed paper8. Bulky rigid plastics are included in container collection,,
Dighton,Thomas Ferry,2667,2393,2393,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Neither,Both,Neither,,Yes,,Yes,10,,,,,,,,,,,,,,,,,,808.91,Yes,,Yes,,519.8,,,,,,,,,,,,,,Year Round,Year Round,Year Round,Year Round,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,Year Round,Year Round,Year Round,Year Round,Yes,1,No,Yes,,,
Douglas,Kristin Harris,2970,1265,1265,Drop-off,,,Drop-off,,,,,None,,,Both,Neither,Neither,Neither,,Yes,,,200,,,,,,,,,,,,,,Yes,,,Yes,1172,No,252,Yes,,,,65,53,45,,47,1.48,,,,,,14.51,Year Round,Between 3 & 10,Year Round,Year Round,0,0,Year Round,0,0,0,0,0,0,0,0,0,0,Year Round,,Year Round,No,,,,,,
Dover,Nancy Bates,1995,1995,1995,Drop-off,,,Drop-off,,,,,Curbside,,52,Neither,Neither,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,2128.4,Yes,,No,64,117.3,,131,198.5,189,,,12.4,,,,,,25.4,Year Round,1 or 2,Year Round,Year Round,Year Round,Year Round,0,Between 3 & 10,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,Yes,1,No,Yes,,,
Dracut,Matt Zettek,11953,10359,10419,Curbside,Yes,64,Curbside,Bi-weekly,Yes,Yes,95,None,,28,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,9377,Yes,,No,69,2759,,,,,,2,,,,,,810,19,1 or 2,1 or 2,Once a Month,0,0,1 or 2,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Yes,1,Yes,Yes,The number of households served in the municipal trash and recycling programs includes condominium complexes of varying sizes that choose to participate in the municipal program.,,
DUDLEY,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstable,Joan Ferrari,1051,345,345,Drop-off,,,Drop-off,,,,,None,,,Both,Both,Neither,Neither,Yes,Yes,,,150,,,,,,,,,Yes,Yes,,Yes,8,Yes,,,,167,Yes,,Yes,,,,7.54,38.68,8.11,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,1 or 2,0,0,Once a Week,0,Once a Week,No,,,,,,
Duxbury,Trudy Lavin,5500,5000,5000,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,Yes,25,,Yes,,,,,,,Yes,Yes,,No,,Yes,,Yes,,2707.88,No,1380.52,Yes,56.38,1999.36,,,,,,328.76,87.07,,,,,3350,54.04,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,No,,,,,,
East Bridgewater,Robert Kenn,4200,3800,3600,Curbside,,,Both,Bi-weekly,Yes,Yes,96,None,,22,Both,Both,Neither,Neither,,Yes,,Yes,75,,Yes,,,,,,,,,,,,Yes,,,Yes,2163.46,Yes,,Yes,92,1194.21,,34,,,8,,21.93,,,,,5.4,12,1 or 2,1 or 2,Year Round,Year Round,1 or 2,Year Round,1 or 2,1 or 2,0,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,,0,Yes,1,No,No,,,
East Brookfield,DONNA WENTZELL,974,923,923,Curbside,,,Curbside,Bi-weekly,,,,None,,52,Both,Neither,Neither,Neither,Yes,Yes,,Yes,130,,Yes,,,,,,,,,,,,,Yes,,,516.56,Yes,,Yes,75.08,20,85.03,,5.55,68.05,,,,6,,,,16,8.59,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,Year Round,No,,,,,,
East Longmeadow,Greg.neffinger,5500,5500,5500,Both,,,Both,Weekly,,,,None,2,52,Both,Both,Neither,Neither,Yes,Yes,,Yes,50,,Yes,,,,,,,,,,,,,,,Yes,3832.03,No,107.77,Yes,62,,,,951.26,559.48,,65.55,,246.49,1.13,,,,22.8,0,Year Round,Year Round,0,Year Round,Year Round,0,0,0,0,Year Round,Year Round,Year Round,1 or 2,Year Round,0,0,0,0,0,No,,,,,,
Eastham,neil andres,5772,3742,3742,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Both,Yes,Yes,Yes,,120,10,,,,,,,,,,,,,,Yes,Yes,Yes,3958,No,194,Yes,61.5,,91.86,131.69,188.11,253.34,7.24,226,18.92,451.96,77.66,,5,928,5.26,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,,Year Round,Yes,2,No,Yes,"Two HHHW events for Eastham Residents - one in Eastham , one in Orleans",,
EASTHAMPTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EASTON,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgartown,Don Hatch,4372,1200,1200,Drop-off,,,Drop-off,,Yes,,,None,,52,Both,Both,Both,Both,,,,Yes,,,Yes,,,,,,,,,,,,,,,,4081,Yes,,Yes,160,624,,,,,,187,17,200,25.58,,,200,18,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,0,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,,Year Round,Yes,4,Yes,No,,,
Egremont,Mary Brazie,821,821,821,Drop-off,,,Drop-off,,,,,Drop-off,,52,Both,Both,Both,Neither,Yes,,,,,,,,,,,,,Yes,Yes,,No,,Yes,Yes,,Yes,418.17,No,2.26,Yes,84,,,,115.26,80.36,2.28,27.7,0.25,25.29,,,11.25,,2.93,0,1 or 2,Year Round,Year Round,Between 3 & 10,Year Round,0,Between 3 & 10,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Once a Month,,Year Round,No,,,,"Mattresses, carpets are a part of wood as we collect them collectively as C&D",,
Erving,Jan Ameen,590,590,590,Curbside,,,Curbside,Weekly,,,,None,,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,Yes,364.25,No,33.12,No,72,,,,104.72,53.61,,2.97,,,,,,,6.04,Year Round,0,Year Round,Year Round,Year Round,Year Round,1 or 2,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,,,
ESSEX,-- DID NOT REPORT --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everett,Jon Norton,16231,13644,13644,Curbside,Yes,64,Curbside,Weekly,Yes,Yes,96,None,20,,Both,Both,Both,Neither,Yes,,,,,,,Yes,1,64,Yes,,Yes,,,,,,,,,,13117.28,Yes,,Yes,67.98,4153.98,,,,,,,,,,,,206.62,,1 or 2,1 or 2,Once a Week,0,1 or 2,0,1 or 2,1 or 2,,1 or 2,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,Yes,1,Yes,No,,,
Fairhaven,Patricia Fowle,6800,6330,6330,Curbside,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,5,52,Both,Both,Neither,Neither,Yes,,,,,,,,,,,,,,,,,,,,,,4748,Yes,,No,62.52,1416,,,,,,8,,,,,,1710,13,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,0,No,,,,,,
Fall River,Tammy Moutinho,34000,30600,30600,Both,Yes,95,Both,Weekly,Yes,Yes,95,None,36,52,Both,Both,Both,Neither,,Yes,,Yes,120,,Yes,,,,,,,,,,,,Yes,,,,20401.95,Yes,,Yes,66.44,9531.36,0,134.39,,89.48,0.38,89.48,4.95,,123.42,,,2329,129.65,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,1 or 2,0,0,Year Round,,Year Round,No,,,,,,
Falmouth,Peter M. McConarty,21000,21000,21000,Both,,,Both,Bi-weekly,Yes,,,None,,52,Both,Both,Neither,Neither,Yes,Yes,Yes,,40,20,,,,,,,,,,,,,,Yes,,,10850,No,0,No,,,,,,,,,,,,,,,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Between 3 & 10,Year Round,Year Round,Year Round,Year Round,Between 3 & 10,Year Round,Year Round,Year Round,,Year Round,Yes,4,No,No,,,
Fitchburg,Jean-Francois Leblanc,16500,13500,13500,Both,Yes,64,Both,Bi-weekly,Yes,Yes,96,None,16,52,Both,Both,Neither,Neither,Yes,,,,,,,Yes,1,64,Yes,Yes,Yes,Yes,Yes,,Yes,20,Yes,Yes,Yes,Yes,9923.61,No,0,Yes,,3114.24,,,,,,,,,,,,810.47,,Year Round,0,0,0,Year Round,Between 3 & 10,Between 3 & 10,Between 3 & 10,,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,Between 3 & 10,0,Year Round,0,,Year Round,Yes,6,No,Yes,,,
