Municipality Name,Contact Name,Total Number of Households ,Households Served by Municipal Trash Program,Households Served by Municipal Recycling Program,Trash Service Type,Recycling Service Type,Yard Waste Service Type,Food Waste Service Type,Curbside yard waste       # weeks collected ,Drop-off yard waste # days drop off center open ,Municipal Buildings Trash and Recycling Service,School Trash and Recycling Service,Business Trash and Recycling Service,Trash Disposal Tonnage ,Single Stream Recyclables,Mixed Paper (dual stream),Commingled Containers (dual stream),Newspaper,Cardboard,Steel/tin Cans,Aluminum,Glass,Plastic,Scrap Metal/ White Goods,Textiles/ Used Clothing,C&D Materials,Swap Shop or Book Reuse,Other Materials,Auto Batteries,Household Batteries (including button batteries),Tires,Used Oil,Used Oil Filters,Antifreeze,Computers/ Electronics,Propane Tanks,Latex/Oil based Paint,Fluorescent Lamps/ CFLs,Thermostats,Thermometers,Flow Meters,Mercury Switches,Elemental Mercury,# comprehensive hazardous product collection events ,Regional Program,Reciprocal Program,Comments/Additional Information,,
Devens,Tessa David,110,0,110,None,Drop off,Curbside,None,50,0,Both,Both,Recycling,0,0,67,21.3,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,Year Round,Year Round,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,"Devens municipal recycling drop off collection includes the 60 businesses in addition to the 110 households and is available 24 hours. However, some businesses have their own private recycling pick up. There is no municipal trash service for residents and businesses.",,
Dighton,Thomas Ferry,2340,2340,2340,Curbside,Curbside,Drop off,None,0,104,Neither,Neither,Neither,1368,469.87,32.84,5.63,0,0,0,0,0,0,34.14,0,0,6.5,0,0,0,Year Round,1 to 2,1 to 2,1 to 2,Year Round,0,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,N,,,
Douglas,"Justin Lapham, Chairman",2600,1300,1300,Drop off,Drop off,None,None,,,neither,neither,neither,1590,0,108,39,0,0,0,0,0,30,51,1.6,0,0,0,year round,year round,1 or 2,0,0,0,year round,year round,year round,0,0,0,0,0,0,0,,no,"Douglas residents can take oil, oil filters, antifreeze, CFLS, thormostates, oil based paint, flow meters, mercury products to the Blackstone Valley Regional Recycling Center in Northbridge, MA",,
DOVER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracut,Matt Zettek,17828,13968,15659,Curbside,Both,Both,None,21,298,Both,Both,Neither,16103,1274,855,255,0,0,0,0,0,0,198,0,2319,0,0,0,Year Round,Year Round,52,0,0,Year Round,Year Round,52,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Y,Y,"Single Stream Recycling started in mid-July, 2010",,
DUDLEY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunstable,Joan Ferrari,1100,569,569,Drop off,Drop off,None,None,0,0,Both,Both,Neither,382,0,0,0,107,40,9.18,0,42,24,0,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,N,,,
Duxbury,Peter Buttkus,5700,5500,5500,Drop off,Drop off,Drop off,None,0,255,Neither,Neither,Neither,2492,1973,0,0,0,0,0,0,0,0,367,50,1194,50,104,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,"#3,  Other materials includes televisions/CRT's, flourescent bulbs, acid batteries, tires and mattresses.  It does not include waste oil or paint.  You have not asked for that in the past.  Those amounts are availabe if needed.  #5.  Duxbury hosted one event with Kingston and participated in 7 others.",,
East Bridgewater,John Haines,4300,3500,4000,Curbside,Curbside,Both,None,4,50,trash,trash,neither,2384,0,705,310,,,,,,,,,,,,1 or 2,1 or 2,1 or 2,1 or 2,0,1 or 2,year round,1 or 2,1 or 2,0,0,0,0,0,0,1,no,no,,,
East Brookfield,Donna Wentzell,961,928,928,Curbside,Both,Drop off,None,0,51,Neither,Neither,Neither,564.09,0,51.04,34.12,0,0,0,0,0,0,9.66,0,0,1,0,52,52,52,52,52,52,52,52,1 to 2,52,52,52,52,52,1 to 2,1,Y,N,HHW day is a regional event with North Brookfield in North Brookfield Transfer Station.,,
East Longmeadow,Nick Breault,5300,5300,5300,Curbside,Curbside,Curbside,None,0,77,Both,Both,Neither,3618,0,1100,514,0,0,0,0,0,0,104,0,0,0,22,0,52,Year Round,52,0,0,52,0,0,52,52,52,0,52,52,1,Y,N,"The ""Other"" materials are electronics.  We also collected 254 tons of wood waste at the Transfer Station",,
Eastham,Neil Andres,5777,5500,5500,Drop off,Drop off,Drop off,Drop off,0,252,Both,Both,Both,3000,0,0,0,367,142,21,6,142,56,203,30,715,10,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,,,
Easthampton,Stuart Beckley,7800,0,800,None,Drop off,Drop off,None,0,26,Neither,Neither,Neither,0,0,50,40,0,0,0,0,0,0,20,0,0,0,15,52,Year Round,0,Year Round,0,0,52,0,0,52,1 to 2,1 to 2,1 to 2,1 to 2,0,0,,,Household Hazardous Waste Collections are held every other year in conjunction with the Southampton.,,
Easton,Maurice Goulet,5712,2847,2847,Curbside,Curbside,Drop off,None,0,365,Both,Both,Neither,2716.2,826.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,N,N,,,
EDGARTOWN,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Egremont,Mary Brazie,800,800,800,Drop off,Drop off,Drop off,None,0,48,Both,Both,Both,452,0,117,82,0,0,0,0,0,0,35,4,34,3,0,0,0,0,0,0,0,Year Round,0,0,Year Round,Year Round,Year Round,0,0,Year Round,6,Y,N,,,
Erving,Jan Ameen,800,800,800,Curbside,Curbside,Drop off,None,0,260,Recycling,Recycling,Neither,362,0,121,59,0,0,0,0,0,0,10,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,1 to 2,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Essex,Paul Goodwin,1300,950,950,Drop off,Drop off,Drop off,None,0,208,Neither,Neither,Neither,1268,0,0,108,99,70,0,0,0,0,96,18,0,0,0,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,N,N,,,
Everett,Jon Norton,16500,13644,13644,Curbside,Curbside,Curbside,None,15,0,Both,Both,Both,15291.4,2722.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,1 to 2,1 to 2,1 to 2,52,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,,,
Fairhaven,Patricia Fowle,6855,6399,6399,Curbside,Both,Both,None,8,180,Both,Both,Trash,6182,0,531,335,0,0,0,0,0,0,22,18,0,0,0,52,Year Round,52,52,52,0,Year Round,52,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,"We do collect used books through ""Got Books"" but they are not weighed.",,
Fall River,Betsey Westell,42000,33000,33000,Both,Both,Both,None,30,204,Neither,Neither,Both,41000,2545,182,0,0,10,0,0,0,0,82,1,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Falmouth,John T. Lyons,20016,20016,20016,Both,Both,Drop off,None,0,257,Both,Both,Neither,12054,1924,846,597,86,74,0,0,0,0,178,4,320,8,0,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,4,Y,N,"In section 3 of the survey, the zero responses are due to the tonnage being included in the co-mingle figure.",,
Fitchburg,Stephen D.  Curry,15951,13341,13341,Both,Both,Both,None,15,156,Both,Both,Neither,16519.58,1187,0,18.19,21.26,0,0,0,0,0,58.05,0,0,0,44.58,Year Round,1 to 2,Year Round,Year Round,0,1 to 2,Year Round,Year Round,3 to 10,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,2,Y,N,,,
Florida,Christine Dobbert,292,292,292,Drop off,Drop off,Drop off,Drop off,0,104,Both,Both,Both,541,0,52,16,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,0,1,Y,N,,,
Foxborough,Barbara Riha,4419,3760,3760,Curbside,Curbside,Drop off,None,0,205,Both,Both,Neither,3369,0,984,482,0,0,0,0,0,0,204,0,0,0,0,1 to 2,Year Round,52,Year Round,Year Round,Year Round,52,0,52,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
FRAMINGHAM,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,Chris White,11600,9000,9000,Curbside,Both,Both,None,7,136,Both,Both,Neither,7825,3139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1 to 2,0,0,0,0,0,0,1,N,Y,"Mercury items collection via drop off at Health Dept, DPW and Recycling Center year round.",,
Freetown,Paul Bourgeois,3155,2500,2500,Curbside,Curbside,Drop off,None,0,365,Neither,Neither,Neither,2287.76,379,0,0,70.63,98.18,11.27,0,42.31,16.57,92.02,0,0,0,4.5,Year Round,Year Round,Year Round,0,0,0,Year Round,Year Round,0,Year Round,Year Round,Year Round,0,Year Round,Year Round,0,N,N,,,
Gardner,Bernard Sullivan,8200,6400,6400,Both,Both,Both,None,10,208,Neither,Neither,Neither,4095.08,1435.06,0,72.9,0,88,0,0,0,0,9.5,1,0,5.7,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,Y,"#4 Our paint shed closes from November to April due to weather  #1 In general, our Enterprised trash and recycling program serves residence, but some small storefront businesses have bought into our curbside collection program for trash and recyclables.  Total number of businesses on the program are less than 50 customers out of the 6400 customers on the program.",,
GEORGETOWN,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gill,Jan Ameen,582,540,540,Curbside,Curbside,None,None,0,0,Recycling,Recycling,Neither,105,0,67,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Gloucester,Rose Lopiccolo,13800,12500,12500,Curbside,Curbside,Both,None,2,21,Both,Both,Neither,6891.88,14.38,1885.62,1218.67,0,0,0,0,0,0,36.85,0,0,0,0,12,12,12,12,12,1 to 2,1 to 2,1 to 2,1 to 2,12,12,12,12,12,12,1,Y,N,,,
Goshen,Eric Weiss - Hrmc,365,325,325,Both,Both,None,None,0,0,Neither,Neither,Both,161.69,0,23.31,48.64,0,0,0,0,0,0,12.4,3.4,0,0,2.67,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,0,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Goshen is part of the Hilltown Resource Management Cooperative,,
Gosnold,Seth Garfield,150,110,110,Both,Both,None,None,0,0,Both,Both,Both,480,0,15,120,0,0,0,0,0,0,80,0,0,0,0,Year Round,0,Year Round,Year Round,Year Round,0,3 to 10,0,1 to 2,0,0,0,0,0,0,14,N,N,"Since we are an Island, we offered a 2 week window to collect Haz Waste from the home owners, this was collected, shipped to the mainland and disposed of through clean harbors. We currently Recycle very well, but need more effort on C+D material. This we are being charged for as we do not have the dumpster space to really seperate effectively.",,
Grafton,Kevin Mizikar,6559,4965,4965,Curbside,Both,Drop off,None,0,30,Both,Both,Neither,3072.5,1541.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Year Round,0,Year Round,0,0,1 to 2,0,1 to 2,Year Round,Year Round,Year Round,0,Year Round,Year Round,2,N,N,Household Batteries - The Town collects rechargeable batteries and button batteries.,,
Granby,Christopher Martin,2816,2816,2816,Drop off,Drop off,None,None,0,0,Both,Both,Neither,3596.95,0,275.2,0,0,0,0,0,116.32,0,157.16,0,0,0,428.14,Year Round,Year Round,Year Round,0,0,1 to 2,Year Round,Year Round,1 to 2,Year Round,1 to 2,1 to 2,Year Round,1 to 2,1 to 2,2,N,N,"Q3 - Other Materials is - Brush, tires, CFC appliances, CRT's.",,
Granville,Kathryn Martin,500,380,500,Drop off,Drop off,None,None,0,106,Recycling,Recycling,Recycling,231,0,0,70,34,0,0,0,0,0,17,0,0,5,0,Year Round,Year Round,Year Round,0,0,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,We collected 9.375 tons of  hazardous waste.,,
Great Barrington,Joseph W. Sokul,3000,3000,3000,Drop off,Drop off,None,None,0,0,Both,Both,Recycling,119,34,72,0,0,0,0,0,0,0,14,0,0,0,1,0,52,52,52,0,0,52,0,52,52,0,0,0,0,0,2,Y,N,,,
Greenfield,Janine Greaves,18960,7500,7500,Both,Both,Both,None,4,365,Both,Both,Neither,3792,0,1107,570,0,80,0,0,0,0,225,0,163,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,365,,,We collect HHW year round at the Treatment Plant,,
Groton,Tom Delaney,3395,1478,1478,Drop off,Drop off,Drop off,None,0,207,Recycling,Recycling,Neither,1346.83,0,0,0,0,125,18.8,9.7,111.4,76.3,80.5,11.7,442.8,86,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,Noticed that C&D is requested to be included in both #2 disposal tonnage and #3 recycling tonnage,,
Groveland,Lori Bentsen,2238,2034,2034,Curbside,Curbside,Drop off,None,0,35,Neither,Neither,Neither,2372,201.97,165.35,109.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,0,0,0,0,0,0,0,0,0,,,,,
HADLEY,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,Susan Johnston,2937,2005,2937,Curbside,Both,Drop off,None,0,52,Both,Both,Neither,796.81,0,224.53,164.02,0,0,0,0,0,0,33.61,1,0,1,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,N,N,We also collect used syringes during Center Hours.,,
Hamilton,John Tomasz,2418,2418,2418,Curbside,Both,Both,Curbside,4,10,Neither,Neither,Both,1906,840,0,0,0,5,0,0,0,0,24,0,0,0,70,,,Year Round,1 to 2,,1 to 2,Year Round,Year Round,,Year Round,Year Round,Year Round,,Year Round,,1,N,N,,,
HAMPDEN,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hancock,John Quimby,296,296,296,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,247,0,34,17,0,0,0,0,0,0,23,0,0,0,0,0,Year Round,Year Round,0,0,1 to 2,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,We are a member of the Northern Berkshire Solid Waste Management District.,,
Hanover,Victor J Diniak,4443,4443,4443,Drop off,Drop off,Drop off,None,0,295,Both,Both,Neither,4756,0,0,0,449,344,19,4,124,89,227,107,1067,18,129,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,11,Y,Y,,,
Hanson,Karen Doucette,3510,3253,3253,Drop off,Drop off,Drop off,Drop off,0,248,Neither,Neither,Neither,3115,0,353,152,0,0,0,0,0,0,98,0,0,0,0,Year Round,Year Round,Year Round,,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,0,0,N,N,,,
Hardwick,Theresa A. Cofske,1128,0,351,None,Drop off,None,None,0,0,Recycling,Recycling,Neither,0,0,70,56,0,31,0,0,25,0,36,8,0,11,0,52,52,52,52,52,0,52,0,0,52,0,0,0,0,0,1,Y,N,,,
Harvard,Richard Nota,1907,1390,1440,Drop off,Drop off,None,None,0,0,Recycling,Recycling,Neither,1226,384,0,0,0,0,0,0,88,0,135,12,147,8,29,Year Round,Year Round,Year Round,Year Round,Year Round,,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
Harwich,Lincoln Hooper,12967,12967,12967,Drop off,Drop off,Drop off,Drop off,0,362,Both,Both,Both,6935,0,94,0,267,265,27,0,188,126,413,67,3920,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,6,Y,,Latex/Oil based Paint is collected between April 1st and October 31st.,,
HATFIELD,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haverhill,Steve Clifford,20840,20094,20094,Curbside,Both,Both,None,1,37,Trash,Trash,Trash,22971.23,3063.21,0,0,0,0,0,0,0,0,61.2,0,0,0,0,,Year Round,Year Round,Year Round,,,1 to 2,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,,,
Hawley,Jan Ameen,194,0,0,None,None,None,None,0,0,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Y,Y,,,
Heath,Jan Ameen,350,250,250,Drop off,Drop off,None,None,0,0,Neither,Neither,Neither,219,0,34,31,0,0,0,0,0,0,22,0,0,0,0,0,Year Round,0,0,0,0,0,0,0,Year Round,0,0,0,0,0,1,Y,Y,,,
Hingham,Randy Sylvester,6136,6136,6136,Drop off,Drop off,Drop off,Drop off,0,208,Recycling,Recycling,Both,7574.6,105.7,965.3,0,0,433.9,37.1,0,388.9,152.9,400.6,116,0,90,3389,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,Y,,,
Hinsdale,Select Board,1250,381,381,Drop off,Drop off,None,None,0,207,Neither,Neither,Both,444,0,52,24,0,0,0,0,0,0,23,0,0,0,0,0,Year Round,Year Round,0,0,0,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,0,1,Y,N,We are part of the Northern Berkshire Solid Waste Management District,,
HOLBROOK,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLDEN,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLAND,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLLISTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke,Timothy E. Price Sr.,16200,9950,9950,Both,Both,Both,None,42,42,Recycling,Recycling,Recycling,7885.7,0,1258.28,430.46,0,0,85,0,0,0,141.17,0,518,22,11,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,,N,Y,,,
Hopedale,Leonatd A. Izzo,2027,2027,2029,Curbside,Both,None,None,0,48,Both,Both,Neither,1704.16,0,0,0,235.05,728.4,0,0,0,0,245,0,40,0,0,Year Round,Year Round,0,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
HOPKINTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUBBARDSTON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUDSON,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hull,Joseph Stigliani,4851,0,0,None,None,None,None,0,0,Neither,Neither,Neither,540,0,0,0,1,1,1,1,1,1,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,The Hull Landfill is used for DPW generated waste only including municipal trash barrels on public beaches.,,
Huntington,Eric Weiss,810,750,750,Drop off,Drop off,None,None,0,0,Neither,Neither,Both,477.56,0,52.51,90.19,0,0,0,0,0,0,29.4,3.1,0,0,3.29,0,1 to 2,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,1 to 2,1 to 2,1,Y,,Huntington is part of the Hilltown Resource Management Cooperative,,
Ipswich,Judy Sedgewick,6500,4962,4962,Curbside,Curbside,Drop off,None,0,100,Both,Both,Both,3320,1662,0,0,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,1 to 2,1 to 2,0,1 to 2,1 to 2,0,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,N,N,,,
Kingston,Paul Basler,4725,2888,2888,Drop off,Drop off,Drop off,None,0,260,Neither,Neither,Neither,4415,0,0,146,167,65,0,0,0,0,357,40,433,0,0,Year Round,Year Round,,Year Round,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,1,Y,,,,
Lakeville,Chris Peck,4000,1800,1800,Drop off,Drop off,Drop off,None,52,245,Neither,Neither,Both,1144.02,0,171.4,20.79,0,174.42,33.34,0,25.03,170.02,80.16,17,208,2,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,We collect mercury products and conduct a swap thermostat program through SEMASS/COVANTA,,
LANCASTER,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanesborough,Paul Boudreau,1203,0,353,None,Drop off,None,None,0,0,Neither,Neither,Neither,0,0,61,23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1 to 2,1 to 2,3 to 10,Year Round,0,Year Round,0,0,0,1,Y,N,Lanesborough has municipal recycling only.  We are a member of the Northern Berkshire Solid Waste Management District.,,
LAWRENCE,--- Did Not Report ---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lee,Jamie Cahillane,2442,0,0,None,None,None,None,0,0,Neither,Neither,Neither,0,0,97,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,0,1 to 2,1 to 2,1 to 2,3 to 10,1 to 2,1 to 2,1 to 2,0,0,0,2,Y,N,Data is from one hauler working in town.,,
Leicester,Ruth Kaminski,3829,0,3829,None,Drop off,Drop off,None,0,29,Recycling,Recycling,Recycling,0,0,537,0,0,0,24,18,92,28.5,103,15.5,0,0,56,Year Round,Year Round,Year Round,Year Round,,1 to 2,Year Round,Year Round,3 to 10,Year Round,Year Round,Year Round,,Year Round,,1,Y,N,"WE COLLECT PAINT JUNE, JULY, AUGUST AND SEPTEMBER EVERY YEAR.  SINCE THE MAJORITY OF HAZ MAT IS PAINT, USED MOTOR OIL, BATTERIES, ETC. AS MENTIONED ABOVE, WE ONLY DO FULL HAZ MAT EVERY 2 YEARS WHICH IS ALL THAT IS NEEDED.",,
Lenox,Jamie Cahillane,2212,0,0,None,None,Drop off,None,0,15,Neither,Neither,Neither,0,0,52,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3 to 10,0,1 to 2,1 to 2,1 to 2,3 to 10,1 to 2,0,0,0,0,0,2,Y,N,Recycling data from one hauler only.,,
Leominster,Kathy Mumford,13888,11169,11632,Both,Both,Both,Both,9,50,Trash,Trash,Trash,8951,2657,4930,0,0,0,0,0,0,0,0,0,14,0,0,3 to 10,3 to 10,0,52,0,3 to 10,Year Round,Year Round,0,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,3 to 10,4,N,N,,,
Leverett,Jan Ameen,800,635,635,Drop off,Drop off,None,None,0,0,Recycling,Recycling,Neither,206,0,101,52,0,0,0,0,0,0,7,0,0,3,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,0,0,1,Y,Y,,,
Lexington,Robert Beaudoin,11423,10964,10964,Both,Both,Both,None,13,250,Both,Both,Neither,9016,0,3365,1248,0,0,0,0,0,0,245,295,0,5,5,3 to 10,Year Round,Year Round,3 to 10,3 to 10,3 to 10,Year Round,3 to 10,3 to 10,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,8,Y,,,,
Leyden,Jan Ameen,304,0,0,None,None,None,None,0,0,Neither,Neither,Neither,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lincoln,Chris Bibbo,3050,2000,2000,Drop off,Drop off,Drop off,None,0,240,Neither,Neither,Neither,1118,0,394,68,0,0,0,0,94,0,77,0,0,0,0,Year Round,Year Round,0,Year Round,0,0,52,52,0,52,Year Round,Year Round,0,0,0,4,Y,,Hazardous waste collection at the Lexington Facility,,
Littleton,Jim Clyde,3036,1777,1777,Drop off,Drop off,Drop off,None,0,154,Neither,Neither,Neither,1990.67,0,352.65,0,0,0,21.25,0,90.34,53.01,146.91,27.36,0,0,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,0,,,,,
Longmeadow,Arlene C. Miller,5474,5474,5474,Curbside,Curbside,Both,None,6,182,Both,Both,Neither,3548,0,1395,581,0,0,0,0,0,0,65,4,0,1,0,Year Round,Year Round,Year Round,1 to 2,1 to 2,1 to 2,Year Round,Year Round,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,Y,,,
Lowell,Gunther Wellenstein,38000,24636,24636,Curbside,Curbside,Curbside,None,38,0,Both,Both,Neither,29776,0,2635,1550,0,0,0,0,0,0,0,0,0,0,0,1 to 2,Year Round,1 to 2,12,0,1 to 2,,52,1 to 2,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,2,N,N,"Regional Waste Water Plant open 12 times for Medical Sharps, used waste oil, mercury products & batteries drop-off.  Local Hardware Stores collect florescent bulbs.  City Hall, DPW & Health Dept have Hg drop off daily.  Health Dept has un-used/Expired Meds drop-off quarterly.  Spring & Fall HHW drop-off events include propane tanks, CRTs & tires  MSW contractor collects propane tanks, CRTs & tires by Appt",,
Ludlow,Jim Goodreau,6888,6831,6831,Both,Both,Drop off,None,0,150,Neither,Neither,Neither,6801,0,805,467,0,0,0,0,0,0,76,0,0,0,0,Year Round,Year Round,Year Round,Year Round,0,0,Year Round,0,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,Year Round,1,Y,N,The town collects trash and recycle material from all units up to a four family unit.,,
